"Summer 2004
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD Populations             COFD
SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
3
7
4
4
2
2
33
33
66","Sophomore
1
1
1
4
1
2
5
1
14
2
2
1
1
12
12
69","Junior
5
8
1
1
4
9
3
31
4
1
1
6
6
6
2
2
133","Senior
2
2
2
3
6
1
2
5
11
5
35
4
4
4
4
155",PB,"Total
3
3
3
4
9
15
1
3
1
12
27
12
87
14
1
1
16
13
13
47
47
423",PB,Master,PhD,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,2,,1,1,1,,,3,
,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,9,
,,,,,,,,,,2,,,,,18,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,12,
,,,,,,,,,,,2,2,,,29,
,,,,,,,,1,,1,,,,,13,
,,,,,,,1,3,,4,3,3,,,94,
,,,,,,,,1,,1,,,,,15,
,,,,,,,,1,,1,4,4,,,6,
,,,,,,,,1,,1,,,,,2,
,,,,,,,,3,,3,4,4,,,23,
,,,,,,,,,,,,,,,13,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,1,1,,,14,
,,,,,,,,,,,,,,,47,
,,,,,,,,,,,,,,,47,
,,,,,,,,1,,1,,,,,1,
,,,,,,,2,,,2,,,,,2,
,,,,,,,2,1,,3,,,,,3,
,,,,,,,16,50,,66,87,87,,,576,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,,,,,
