Top 10,,,,,,,,,
Summer 2004 Feeder Patterns First Time In College,,,,,,,,,
State,Students  % Total,,,,,,,,
Texas,210,,,94.6%,,,,,
Louisiana,3,,,1.4%,,,,,
Arkansas,2,,,0.9%,,,,,
Washington,1,,,0.5%,,,,,
South Carolina,1,,,0.5%,,,,,
Florida,1,,,0.5%,,,,,
California,1,,,0.0%,,,,,
Country,,Students  % Total,,,,,,,
United States,,219,,,,98.6%,,,
Mexico,,2,,,,0.9%,,,
"China, People's Rep",,1,,,,0.5%,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,,32,,14.4%,,,,
Bexar,,,14,,6.3%,,,,
Dallas,,,13,,5.9%,,,,
Brazos,,,10,,4.5%,,,,
Fort Bend,,,8,,3.6%,,,,
Collin,,,6,,2.7%,,,,
Nueces,,,6,,2.7%,,,,
Jefferson,,,5,,2.3%,,,,
Montgomery,,,5,,2.3%,,,,
Tarrant,,,5,,2.3%,,,,
