"Summer 2004
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD Populations             COFD
SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
3
5
1
1
2
9
12
12
33","Sophomore
1
1
2
1
5
4
2
6
1
1
8
8
42","Junior
2
4
3
1
1
2
3
4
20
14
2
2
18
14
14
1
1
150","Senior
1
2
1
12
2
1
4
9
32
17
2
3
1
23
14
14
241","PB
1
1
2","Total
1
5
1
17
6
2
1
1
7
14
5
60
40
7
6
3
56
30
30
21
21
468",PB,Master,PhD,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,8,1,,1,1,1,4,4,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,1,,1,1,1,,,2,
,,,,,,,,1,,1,,,,,2,
,,,,,,,,,,,,,,,5,
,,,,,,,,,,,1,1,,,2,
,,,,,,,,,,,,,,,17,
,,,,,,,,,,,1,1,,,7,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,7,
,,,,,,,,1,,1,2,2,,,17,
,,,,,,,,,,,,,,,5,
,,,,,,,,2,,2,4,4,,,66,
,,,,,,,,,,,1,1,,,41,
,,,,,,,,7,,7,2,2,,,16,
,,,,,,,,3,,3,,,,,9,
,,,,,,,,,,,1,1,,,4,
,,,,,,,,10,,10,4,4,,,70,
,,,,,,,,,,,,,,,34,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,2,2,4,4,36,
,,,,,,,,,,,,,,,21,
,,,,,,,,,,,,,,,21,
,,,,,,,,5,,5,,,,,5,
,,,,,,,,5,,5,,,,,5,
,,,,,,,,60,,68,39,39,4,4,579,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,,,,,
