"Summer 2004
Liberal Arts              ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations              COFD SRPH
Subtotal
University                Total",Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,"1st Time in College
1
1
1
1
1
5
4
1
1
6
5
5
179
179
222","1st Time PB
6","1st Time Transfer
1
5
5
7
4
4
4
3
33
5
1
6
2
2
1
1
186","Readmitted
2
2
2
6
8
4
1
2
2
9
2
40
2
2
2
6
1
1
1
1
128","Continuing
48
143
306
347
288
238
89
55
41
433
33
551
162
2,734
396
78
103
41
618
564
564
489
489
13,157",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
,,,,,,1,1,1,14,1,1,5,14,136,70,
,,,,,,,,,,,,,,,147,
,,,,,,1,,,5,,,18,,,340,
,,,,,,,,,14,,,26,,,399,
,,,,,,,,,14,1,,36,,,348,
,,,,,,,,,8,,,11,,,268,
,,,,,,,,,8,,,,,,97,
,,,,,,,,,1,,,,,,61,
,,,,,,,,,4,,,2,,,49,
,,,,,,,,,10,,,46,,,496,
,,,,,,,,,,,,,,,33,
,,,,,,1,,,18,,,37,,,620,
,,,,,,,,,15,,,21,,,204,
,,,,,,3,,1,111,2,1,202,,,"3,132",
,,,,,,,,,21,,,43,,,472,
,,,,,,1,1,1,90,1,,119,,,291,
,,,,,,6,11,,61,,,51,,,236,
,,,,,,30,,,31,1,,71,,,177,
,,,,,,,1,,9,3,,30,,,43,
,,,,,,37,14,1,212,5,,314,,,"1,219",
,,,,,,,,,,,,,,,722,
,,,,,,,1,,11,,,26,,,38,
,,,,,,,,,2,,,,,,2,
,,,,,,,,,1,,,,,,1,
,,,,,,,1,,29,,,21,,,51,
,,,,,,,2,,7,,,20,,,29,
,,,,,,,4,,50,,,67,14,136,843,
,,,,,,,,,,,,,,,670,
,,,,,,,,,,,,,,,670,
,,,,,,3,,,,,,,,,3,
,,,,,,,4,,19,,,6,,,29,
,,,,,,5,,,3,,,,,,8,
,,,,,,8,4,,22,,,6,,,40,
,,,,,,101,292,13,"2,469",37,4,"2,322",14,136,"19,087",
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,,,,,
