"Summer 2004
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
AGEC CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH  of Govt                    Subtotal",Undergraduate,,,,,,Masters,,,,PhD,,Professional,,Grand Total,
,"Freshman
1
8
1
10
3
1
4
1
1
1
1
3
4
1
2
1
3
14","Sophomore
4
5
1
5
3
2
3
23
3
1
4
6
6
1
5
9
15
2
2
3
4
2
2
1
1
1
2
20","Junior
3
11
16
3
9
19
3
1
3
4
1
73
6
5
1
12
9
5
5
3
3
8
33
7
17
24
48
1
1
6
7
4
19
8
7
5
9
6
5
78","Senior
7
29
24
2
4
9
2
1
1
12
4
1
6
8
110
15
19
34
14
1
9
2
15
12
53
10
40
31
81
5
4
9
10
23
24
22
10
15
4
1
127","PB
1
1","Total
14
40
46
5
22
34
5
1
1
13
10
5
8
13
217
27
26
1
54
23
13
14
5
18
20
93
18
63
64
145
11
7
18
11
18
45
36
29
17
28
11
8
239",PB,Master,PhD,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,5,1,,1,2,2,,,15,
,,,,,,,,2,,2,,,,,44,
,,,,,,,,5,,5,1,1,,,52,
,,,,,,,,1,,1,,,,,6,
,,,,,,,,2,,2,4,4,,,28,
,,,,,,,,,,,,,,,34,
,,,,,,,,4,,4,,,,,9,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,13,
,,,,,,,,,,,1,1,,,11,
,,,,,,,,1,,1,,,,,6,
,,,,,,,,,,,1,1,,,9,
,,,,,,,,1,,1,,,,,1,
,,,,,,,,8,,8,3,3,,,24,
,,,,,,,,25,,25,12,12,,,254,
,,,,,,,,10,,10,1,1,,,38,
,,,,,,,,1,,1,,,,,27,
,,,,,,,,2,,2,,,,,3,
,,,,,,,,13,,13,1,1,,,68,
,,,,,,,,4,,4,,,,,27,
,,,,,,,,1,,1,,,,,14,
,,,,,,,,4,,4,,,,,18,
,,,,,,,,1,,1,1,1,,,7,
,,,,,,,,3,,3,1,1,,,22,
,,,,,,,,,,,,,,,20,
,,,,,,,,13,,13,2,2,,,108,
,,,,,,,,,,,,,,,18,
,,,,,,,,10,,15,47,47,,,62,
,,,,,,,,29,,29,12,12,,,41,
,,,,,,,,4,,4,1,1,,,68,
,,,,,,,9,7,,16,16,16,,,96,
,,,,,,,14,50,,64,76,76,,,285,
,,,,,,,,,,,,,,,11,
,,,,,,,,1,,1,,,,,8,
,,,,,,,,1,,1,4,4,,,23,
,,,,,,,,,,,,,,,11,
,,,,,,,,5,,5,,,,,23,
,,,,,,,,7,,7,3,3,,,55,
,,,,,,,,2,,2,1,1,,,39,
,,,,,,,,,,,,,,,29,
,,,,,,,,3,,3,,,,,20,
,,,,,,,,4,,4,1,1,,,33,
,,,,,,,,2,,2,,,,,13,
,,,,,,,,3,,3,,,,,11,
,,,,,,,,28,,28,9,9,,,276,
,,,,,,,4,2,,6,,,,,6,
,,,,,,,4,2,,6,,,,,6,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,,,,,
