Office of Institutional Studies and Planning,,,,,,
Graduate Students,,,,,,
Summer 2004,,,,,,
Official Combined Summer Data – Not Certified,,,,,,
Summer 2004,,"G6: PB
Non-Degreed","G7:
Masters","G8:
Doctoral",Grand Total,
Head Count,Total,212,"2,662","2,364","5,238",
Gender,Female,130,"1,172",886,"2,188",
,Male,82,"1,490","1,478","3,050",
Ethnicity,White,154,"1,467",929,"2,550",
,Black,16,50,87,153,
,Hispanic,21,169,123,313,
,Asian,8,60,39,107,
,American Indian,,4,5,9,
,International,9,868,"1,157","2,034",
,Unknown/Other,4,44,24,72,
TAMU Age,18-21,1,6,,7,
Categories,22-25,52,"1,390",164,"1,606",
,26-30,38,804,930,"1,772",
,31-39,49,336,863,"1,248",
,40+,72,126,407,605,
College,Agriculture,11,475,413,899,
,Architecture,3,237,44,284,
,Business Admin,1,347,67,415,
,Education,80,366,526,972,
,Engineering,16,686,643,"1,345",
,G. Bush School of Govt,33,52,,85,
,Geosciences,2,98,74,174,
,Liberal Arts,5,110,205,320,
,Science,48,216,319,583,
,Veterinary Medicine,2,52,67,121,
,Other - Special Populations,11,23,6,40,
Enrollment,1st Time PB,101,,,101,
Status,1st Time Graduate,,292,37,329,
,Readmitted,,13,4,17,
,Continuing,111,"2,357","2,323","4,791",
Tuition Status,Resident Tuition,188,"1,399",826,"2,413",
,Non-Resident Tuition,17,294,286,597,
,Tuition Exemption/Waiver,7,969,"1,252","2,228",
Residency,Texas Resident,186,"1,408",837,"2,431",
Status,"Non-TX, US Resident",17,380,362,759,
,"Non-TX, Non-US Resident",9,874,"1,165","2,048",
SCH,< 6 SCH,137,808,749,"1,694",
Categories,6-8 SCH,50,"1,463","1,390","2,903",
,9-11 SCH,12,270,175,457,
,12-14 SCH,13,112,45,170,
,15-17 SCH,,8,5,13,
,>17 SCH,,1,,1,
Ft/Pt: TAMU,Less Than Half Time,1,266,433,700,
Status,Half-Time,37,249,92,378,
,Full-Time,174,"2,147","1,839","4,160",
"Prepared by OISP, 18 Aug 04",,,,,,
