"Summer 2004
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD Populations             COFD
SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
4
1
6
2
2
20","Sophomore
1
1
2
1
1
1
1
2
2
36","Junior
4
1
1
6
1
1
3
3
76","Senior
1
5
1
3
10
1
2
3
1
1
114","PB
3","Total
1
2
10
1
4
1
19
3
4
2
2
11
2
2
7
7
249",PB,Master,PhD,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,5,,5,13,13,,,18,
,,,,,,,,1,,1,5,5,,,6,
,,,,,,,,6,,6,12,12,,,18,
,,,,,,,,7,,7,12,12,,,19,
,,,,,,,,19,,19,42,42,,,61,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,1,,1,4,4,,,7,
,,,,,,,,7,,7,18,18,,,35,
,,,,,,,,1,,1,7,7,,,8,
,,,,,,,,4,,4,,,,,5,
,,,,,,,,1,,1,,,,,1,
,,,,,,,,1,,1,11,11,,,12,
,,,,,,,,1,,1,4,4,,,9,
,,,,,,,,1,,1,2,2,,,4,
,,,,,,,,17,,17,47,47,,,83,
,,,,,,,,4,,4,15,15,,,22,
,,,,,,,,37,,37,59,59,,,100,
,,,,,,,,11,,13,39,39,,,54,
,,,,,,,,21,,21,56,56,,,79,
,,,,,,,,8,,8,27,27,,,35,
,,,,,,,2,81,,83,196,196,,,290,
,,,,,,,,,,,,,,,2,
,,,,,,,,4,,4,12,12,,,16,
,,,,,,,1,7,,8,4,4,,,12,
,,,,,,,,3,,3,14,14,,,17,
,,,,,,,1,14,,15,30,30,,,47,
,,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,,7,
,,,,,,,1,,,1,,,,,1,
,,,,,,,,7,,7,6,6,,,13,
,,,,,,,1,7,,8,6,6,,,14,
,,,,,,,9,868,,877,"1,157","1,157",,,"2,283",
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,,,,,
