"Summer 2004
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal
Business Admin      ACCT
AGEC CLBA FINC INFO MGMT MKTG
Subtotal
Education       CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,Total,,"Total
341
657
643
172
259
176
80
33
98
108
134
110
154
131
277
3373
352
390
100
842
563
1
275
482
183
270
402
2176
136
373
228
899
1121
2757
181
156
280
55
426
572
605
327
182
508
134
163
3589
85
85",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,Female,Male,Female,Male,Female,Male,,
,105,165,,1,8,7,1,2,,,1,17,33,1,,132,209,,
,270,286,9,24,18,26,3,5,3,,2,4,1,3,3,310,347,,
,376,160,1,5,42,10,11,1,4,,1,16,11,3,2,453,190,,
,11,119,4,1,1,5,1,3,,,,9,17,,1,26,146,,
,70,68,8,1,14,14,7,7,,,,40,26,,4,139,120,,
,51,51,6,28,13,21,1,,1,,,1,1,,2,73,103,,
,29,26,,,6,3,1,3,,,,3,7,1,1,40,40,,
,3,20,,1,,1,,,,,,1,5,2,,6,27,,
,49,27,1,,1,,2,1,,,,6,10,1,,60,38,,
,41,25,5,1,4,9,1,3,,,1,5,11,2,,58,50,,
,33,65,,1,4,7,,2,,,,8,11,,3,45,89,,
,22,65,1,1,2,4,1,1,,,1,4,6,1,1,31,79,,
,64,69,1,,4,5,,,,,,6,4,1,,76,78,,
,10,75,,1,,1,,,,,,12,29,1,2,23,108,,
,97,121,5,,8,16,3,1,2,,1,7,8,2,6,124,153,,
,"1,231","1,342",41,65,125,129,32,29,10,,7,139,180,18,25,"1,596","1,777",,
,109,119,3,4,15,23,10,8,,,1,22,32,3,3,162,190,,
,36,276,2,3,6,21,1,5,,,2,11,25,,2,56,334,,
,18,33,,1,2,1,1,,,,,17,24,1,2,39,61,,
,163,428,5,8,23,45,12,13,,,3,50,81,4,7,257,585,,
,287,201,8,1,20,7,15,8,,,,8,7,1,,339,224,,
,,1,,,,,,,,,,,,,,,1,,
,123,106,6,1,10,4,7,5,,,,2,10,,1,148,127,,
,168,253,5,2,4,14,6,9,,,2,4,11,2,2,189,293,,
,46,66,3,2,3,4,5,2,1,,2,16,31,,2,74,109,,
,108,107,5,2,14,8,7,5,,,1,6,6,1,,141,129,,
,243,102,5,2,12,8,4,6,,,,5,11,3,1,272,130,,
,975,836,32,10,63,45,44,35,1,,5,41,76,7,6,"1,163","1,013",,
,65,39,3,2,12,6,,5,,,1,1,1,,1,81,55,,
,143,97,26,15,40,22,,2,1,,,18,2,3,4,231,142,,
,116,27,11,4,35,6,3,,,,,19,5,2,,186,42,,
,476,289,18,11,40,28,5,7,3,,2,5,9,2,4,549,350,,
,866,70,45,8,86,10,5,3,6,,,17,2,3,,"1,028",93,,
,"1,666",522,103,40,213,72,13,17,10,,3,60,19,10,9,"2,075",682,,
,23,86,,3,4,7,2,3,,,,4,47,,2,33,148,,
,43,46,2,2,4,4,5,11,,,1,8,28,1,1,63,93,,
,47,99,5,1,14,9,8,7,,,,20,67,,3,94,186,,
,6,18,3,2,5,6,1,,,,,,14,,,15,40,,
,32,184,1,7,4,19,5,17,,,,42,110,,5,84,342,,
,66,260,3,8,16,39,5,11,1,,2,27,128,2,4,120,452,,
,26,221,2,17,7,32,13,37,,,2,38,208,1,1,87,518,,
,35,225,5,7,10,19,3,14,,,1,1,5,,2,54,273,,
,13,35,5,3,7,13,5,7,,,,17,75,,2,47,135,,
,38,242,1,2,3,30,3,9,,,2,7,167,1,3,53,455,,
,20,54,1,1,2,11,1,7,,,1,8,25,1,2,33,101,,
,13,46,1,1,2,9,,6,,,,13,71,,1,29,134,,
,362,"1,516",29,54,78,198,51,129,1,,9,185,945,6,26,712,"2,877",,
,27,37,3,2,2,4,3,1,,,,2,3,1,,38,47,,
,27,37,3,2,2,4,3,1,,,,2,3,1,,38,47,,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,,,,,,,,
