"Spring 2004
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD
Populations              COFD MARS POLS SABX SRPH
Subtotal
Grand Total",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
216
404
802
723
709
649
290
132
146
1027
100
1427
336
6961
1226
436
456
203
80
2401
2221
42
4
4
57
33
2361
2875
2875
9
20
1
1
46
51
128
41600",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,84,83,,1,12,12,3,2,,1,8,4,2,4,109,107,,
,204,90,7,3,43,27,9,4,3,1,4,3,3,3,273,131,,
,522,174,8,,45,25,2,3,6,1,4,3,5,4,592,210,,
,119,390,9,7,19,52,11,18,,1,27,61,2,7,187,536,,
,435,142,17,9,39,15,6,5,5,,16,9,7,4,525,184,,
,193,377,4,2,14,35,3,1,2,2,2,1,3,10,221,428,,
,194,59,7,1,14,2,2,,1,,6,1,3,,227,63,,
,56,26,,,24,23,,1,,,2,,,,82,50,,
,29,84,,1,4,14,1,1,,,1,3,3,5,38,108,,
,348,510,16,10,42,62,7,11,1,2,4,9,2,3,420,607,,
,52,32,2,2,5,7,,,,,,,,,59,41,,
,873,274,42,9,114,39,30,9,2,3,9,7,13,3,"1,083",344,,
,164,84,12,2,24,20,6,1,1,1,14,6,1,,222,114,,
,"3,273","2,325",124,47,399,333,80,56,21,12,97,107,44,43,"4,038","2,923",,
,552,314,26,17,97,65,67,39,2,3,18,17,2,7,764,462,,
,120,124,8,4,24,20,12,12,,1,35,71,4,1,203,233,,
,202,134,4,1,13,9,8,7,1,2,20,47,6,2,254,202,,
,14,80,,2,1,9,,3,,1,9,83,,1,24,179,,
,15,12,,,,1,2,,,,25,25,,,42,38,,
,903,664,38,24,135,104,89,61,3,7,107,243,12,11,"1,287","1,114",,
,"1,207",588,23,8,171,71,70,39,9,5,5,3,12,10,"1,497",724,,
,19,6,,,,,,,,,6,11,,,25,17,,
,3,1,,,,,,,,,,,,,3,1,,
,1,1,,,,,1,,,,,1,,,2,2,,
,30,10,,,2,,1,,,,6,7,,1,39,18,,
,4,8,1,,,,1,,,,9,9,1,,16,17,,
,"1,264",614,24,8,173,71,73,39,9,5,26,31,13,11,"1,582",779,,
,"1,074","1,235",36,55,148,207,26,52,6,5,6,13,3,9,"1,299","1,576",,
,"1,074","1,235",36,55,148,207,26,52,6,5,6,13,3,9,"1,299","1,576",,
,1,,,,2,1,,,,,1,4,,,4,5,,
,2,3,1,1,1,,2,2,,,4,4,,,10,10,,
,,1,,,,,,,,,,,,,,1,,
,,,,,,,,,,,,1,,,,1,,
,,,,,,,,,,,24,22,,,24,22,,
,17,8,2,1,1,3,3,,,,4,4,6,2,33,18,,
,20,12,3,2,4,4,5,2,,,33,35,6,2,71,57,,
,"15,678","15,981",560,418,"1,777","1,833",563,676,90,99,"1,025","2,512",166,222,"19,859","21,741",,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,,,,,,,
