Spring 2004,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
"General               GEST
Studies                TEAM",,"899
175","1,048
187",36,"54
1","142
6","187
20","25
1","46
6","4
2","4
1","5
1",13,3,9,"1,114
185","1,361
215","2475
400",
,Subtotal,"1,074","1,235",36,55,148,207,26,52,6,5,6,13,3,9,"1,299","1,576",2875,
"Other -                BIOT
Special                MARM
Populations         MDSC MSEN PHLT REEP",,"2
1
17","3
1
8","1
2","1
1","1
2
1","1
3","2
3",2,,,"4
1
4
24","4
4
4
23",6,2,"10
4
33
24","6
1
5
4
18
23","16
1
9
4
51
47",
,Subtotal,20,12,3,2,4,4,5,2,,,33,35,6,2,71,57,128,
Grand Total,,"15,678","15,981",560,418,"1,777","1,833",563,676,90,99,"1,025","2,512",166,222,"19,859","21,741",41600,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
