"Spring 2004
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
66
56
125
31
35
18
5
1
9
5
12
11
11
8
38
431
60
34
14
108
549
549
6
120
200
326
106
42
51
64
104
115
88
26
9
146
20
29
800","Sophomore
58
177
204
47
54
54
9
16
22
19
42
37
40
27
63
869
97
80
21
198
2
803
2
2
1
810
29
261
380
670
83
36
70
50
98
182
120
77
23
195
29
52
1,015","Junior
146
310
274
75
53
75
13
17
44
36
70
50
72
40
99
1,374
111
133
31
275
255
147
200
58
142
212
1,014
81
381
495
957
53
36
84
19
122
216
152
191
28
178
31
33
1,143","Senior
199
455
352
101
83
31
19
15
48
51
50
60
106
45
130
1,745
140
261
50
451
288
4
259
115
162
317
1,145
25
511
636
1,172
91
59
125
4
188
239
240
437
65
265
58
70
1,841","PB
5
1
2
1
5
14
1
1
2
26
28
1
2
2
2
6
2
5
20","Total
469
1,003
956
256
225
179
46
49
123
111
174
158
229
120
335
4,433
409
508
116
1,033
545
1,503
461
173
306
530
3,518
141
1,275
1,737
3,153
333
174
332
137
514
754
606
733
125
789
138
184
4,819",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,36,37,13,13,,,519,
,,,,,,,2,49,51,49,49,,,"1,103",
,,,,,,,5,79,84,29,29,,,"1,069",
,,,,,,,,17,17,6,6,,,279,
,,,,,,,,23,23,35,35,,,283,
,,,,,,,,,,,,,,179,
,,,,,,,1,22,23,15,15,,,84,
,,,,,,,,8,8,1,1,,,58,
,,,,,,,1,16,17,8,8,,,148,
,,,,,,,,4,4,9,9,,,124,
,,,,,,,1,10,11,7,7,,,192,
,,,,,,,2,28,30,12,12,,,200,
,,,,,,,,12,12,12,12,,,253,
,,,,,,,1,42,43,27,27,,,190,
,,,,,,,4,67,71,46,46,,,452,
,,,,,,,18,413,431,269,269,,,"5,133",
,,,,,,,3,103,106,14,14,,,529,
,,,,,,,1,19,20,,,,,528,
,,,,,,,,36,36,12,12,,,164,
,,,,,,,4,158,162,26,26,,,"1,221",
,,,,,,,,112,112,10,10,,,667,
,,,,,,,3,142,145,,,,,"1,648",
,,,,,,,,136,136,4,4,,,601,
,,,,,,,,40,40,1,1,,,214,
,,,,,,,,25,25,10,10,,,341,
,,,,,,,,23,23,6,6,,,559,
,,,,,,,3,478,481,31,31,,,"4,030",
,,,,,,,,,,,,,,141,
,,,,,,,35,79,114,204,204,,,318,
,,,,,,,8,110,118,121,121,,,239,
,,,,,,,5,60,65,25,25,,,"1,365",
,,,,,,,42,73,115,71,71,,,"1,923",
,,,,,,,90,322,412,421,421,,,"3,986",
,,,,,,,1,19,20,5,5,,,358,
,,,,,,,,17,17,4,4,,,195,
,,,,,,,,9,9,11,11,,,352,
,,,,,,,,,,9,9,,,146,
,,,,,,,11,55,66,22,22,,,602,
,,,,,,,,72,72,11,11,,,837,
,,,,,,,,28,28,17,17,,,651,
,,,,,,,,19,19,,,,,752,
,,,,,,,1,14,15,4,4,,,144,
,,,,,,,,54,54,13,13,,,856,
,,,,,,,,23,23,9,9,,,170,
,,,,,,,3,21,24,3,3,,,211,
,,,,,,,16,331,347,108,108,,,"5,274",
,,,,,,,48,72,120,,,,,120,
,,,,,,,48,72,120,,,,,120,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,,,,
