Spring 2004,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Agriculture        ADEV
AGBL AGBU AGEC AGED AGEN AGJR AGLS AGRO AGSC AGSM ANBR ANSC BAEN BESC BICH BSEN DASC ENTO FISC FLOR FORS FSTC GENE HORT MEPS NRDV NUSC NUTR PLBR PLPA PLSC POSC PPHY PPRO PREP PSSC RENR RLEM RPTS RRDV SOSC TOXI WFSC WISC",,"736
96
118
305
94
78
88
179
148
185
162
4
692
21
111
141
17
8
81
0
9
42
44
149
138
9
8
282
21
13
8
3
188
0
25
5
35
181
251
1
16
2
429
10","-8.7%
-29.4%
-13.9%
-12.6%
3.3%
-8.2%
33.3%
-9.1%
-0.7%
5.1%
-1.8%
100.0%
8.0%
5.0%
3.7%
-7.2%
-26.1%
-20.0%
42.1%
-100.0%
28.6%
-4.5%
-18.5%
-4.5%
-3.5%
28.6%
0.0%
25.3%
-22.2%
-7.1%
0.0%
200.0%
37.2%
-100.0%
38.9%
-16.7%
20.7%
30.2%
-18.8%
-50.0%
-5.9%
0.0%
-8.1%
11.1%","32
0
4
9
2
3
41
3
1
4
7
1
9
6
0
1
1
2
5
1
0
1
3
1
0
6","-20.0%
-100.0%
0.0%
80.0%
-33.3%
50.0%
70.8%
200.0%
-50.0%
100.0%
-12.5%
-50.0%
-18.2%
-14.3%
-100.0%
-50.0%
100.0%
0.0%
-37.5%
0.0%
-100.0%
100.0%
50.0%
100.0%
-100.0%
0.0%","54
8
4
16
6
8
5
52
1
10
5
44
1
30
28
3
18
0
4
8
12
5
34
3
22
2
6
24
1
1
50
1","20.0%
14.3%
33.3%
-11.1%
0.0%
14.3%
150.0%
30.0%
-66.7%
25.0%
-37.5%
-4.3%
0.0%
7.1%
12.0%
-25.0%
50.0%
-100.0%
-33.3%
-20.0%
-29.4%
-28.6%
9.7%
0.0%
46.7%
100.0%
-14.3%
0.0%
100.0%
0.0%
19.0%
100.0%","7
1
1
2
2
1
6
2
5
9
19
3
5
2
15
1
7
3
4
1
2
2
7","250.0%
100.0%
0.0%
0.0%
100.0%
0.0%
-14.3%
0.0%
25.0%
28.6%
35.7%
200.0%
-16.7%
0.0%
7.1%
0.0%
600.0%
50.0%
100.0%
100.0%
-33.3%
0.0%
0.0%","6
3
3
4
4
0
3
3
2
1
0
1
0
3
1
2
3
3","-14.3%
100.0%
50.0%
300.0%
-20.0%
-100.0%
200.0%
50.0%
100.0%
0.0%
-100.0%
100.0%
-100.0%
0.0%
100.0%
0.0%
-25.0%
200.0%","3
1
16
56
6
5
4
9
1
7
22
1
56
1
10
5
35
23
14
17
1
1
12
10
20
13
1
4
1
16
27
8
20","-50.0%
100.0%
33.3%
-12.5%
0.0%
25.0%
0.0%
12.5%
0.0%
133.3%
10.0%
0.0%
1.8%
0.0%
-23.1%
-44.4%
0.0%
27.8%
0.0%
13.3%
100.0%
-50.0%
-20.0%
-28.6%
0.0%
62.5%
0.0%
0.0%
0.0%
-5.9%
17.4%
33.3%
0.0%","9
1
0
0
1
1
2
1
1
0
7
1
4
2
1
2
3
1
2
1
1
1
5
0
2
2
2
9","-25.0%
0.0%
-100.0%
-100.0%
0.0%
0.0%
100.0%
-50.0%
0.0%
-100.0%
0.0%
0.0%
-20.0%
-60.0%
0.0%
0.0%
50.0%
-50.0%
100.0%
-50.0%
100.0%
100.0%
150.0%
-100.0%
100.0%
0.0%
0.0%
-18.2%","847
110
139
386
115
96
102
288
162
202
172
4
765
46
166
253
24
9
117
0
9
55
93
206
159
27
9
328
39
25
28
3
236
1
0
29
5
39
210
309
1
27
3
524
11","-7.7%
-24.1%
-10.3%
-12.5%
6.5%
-4.0%
39.7%
3.6%
-1.2%
6.3%
-2.8%
100.0%
7.6%
4.5%
3.8%
-2.3%
-20.0%
-18.2%
27.2%
-100.0%
28.6%
-11.3%
-11.4%
-4.6%
-4.8%
17.4%
12.5%
24.7%
-17.0%
-10.7%
0.0%
200.0%
42.2%
0.0%
-100.0%
26.1%
-16.7%
25.8%
24.3%
-15.1%
-50.0%
3.8%
0.0%
-5.4%
22.2%",
,Subtotal,"5,133",-1.3%,143,5.1%,466,8.9%,107,32.1%,42,23.5%,426,1.4%,62,-12.7%,"6,379",0.1%,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
