"Spring 2004
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
3
4
1
2
10
2
1
2
5
19
19
1
1
2
6
6
3
1
6
4
7
3
2
1
1
40","Sophomore
1
3
3
1
7
1
1
17
3
1
1
5
25
25
1
3
4
8
8
1
6
2
5
13
1
8
1
2
47","Junior
3
3
2
3
2
1
1
1
16
4
2
6
6
7
14
2
7
2
38
4
11
1
16
2
9
6
13
5
19
10
3
2
6
2
77","Senior
1
4
3
2
15
3
1
6
2
1
1
4
43
6
5
2
13
18
1
11
11
9
9
59
2
5
7
14
6
8
14
1
15
13
53
29
11
8
2
3
163","PB
1
1","Total
2
10
12
5
29
6
1
9
4
1
2
5
86
15
9
5
29
24
52
25
13
16
11
141
7
20
13
40
14
31
24
8
36
27
93
40
17
20
10
8
328",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,2,2,2,2,,,4,
,,,,,,,,,,,,,,10,
,,,,,,,,,,3,3,,,17,
,,,,,,,,,,,,,,5,
,,,,,,,,1,1,4,4,,,34,
,,,,,,,,,,,,,,6,
,,,,,,,,1,1,3,3,,,5,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,4,
,,,,,,,,,,2,2,,,3,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,1,1,,,7,
,,,,,,,,5,5,16,16,,,107,
,,,,,,,,10,11,1,1,,,27,
,,,,,,,,1,1,,,,,10,
,,,,,,,,,,1,1,,,6,
,,,,,,,1,11,12,2,2,,,43,
,,,,,,,,5,5,,,,,29,
,,,,,,,1,9,10,,,,,62,
,,,,,,,,,,,,,,25,
,,,,,,,,2,2,,,,,15,
,,,,,,,,,,,,,,16,
,,,,,,,,,,,,,,11,
,,,,,,,1,16,17,,,,,158,
,,,,,,,,,,,,,,7,
,,,,,,,,1,1,3,3,,,4,
,,,,,,,,2,2,1,1,,,3,
,,,,,,,,1,1,,,,,21,
,,,,,,,1,2,3,3,3,,,19,
,,,,,,,1,6,7,7,7,,,54,
,,,,,,,,1,1,,,,,15,
,,,,,,,,,,,,,,31,
,,,,,,,,3,3,1,1,,,28,
,,,,,,,,1,1,,,,,9,
,,,,,,,3,6,9,8,8,,,53,
,,,,,,,,5,5,2,2,,,34,
,,,,,,,,8,8,2,2,,,103,
,,,,,,,,1,1,,,,,41,
,,,,,,,,6,6,,,,,23,
,,,,,,,,4,4,1,1,,,25,
,,,,,,,,,,2,2,,,12,
,,,,,,,,2,2,,,,,10,
,,,,,,,3,37,40,16,16,,,384,
,,,,,,,2,1,3,,,,,3,
,,,,,,,2,1,3,,,,,3,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,,,,
