Spring 2004,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Engineering      AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN NUEL NUEN OCEL OCEN PETE PETL PREN RHEL RHEN SENG",,"194
214
112
141
150
112
115
198
132
299
243
161
219
582
198
407
233
204
127
334
52
167
340
590
55
94
26
95
169
83
230
16
21","14.8%
-14.1%
-2.6%
3.7%
6.4%
-32.9%
-22.3%
-12.0%
-12.0%
-0.7%
-22.9%
-16.1%
-0.9%
-1.0%
-12.0%
-5.8%
-27.4%
27.5%
-7.3%
-19.5%
-16.1%
-9.2%
4.3%
-2.5%
14.6%
5.6%
0.0%
14.5%
16.6%
-2.4%
6.0%
300.0%
-25.0%","45
39
20
12
43
10
168
184
141
3
10
12
24
120
1
212
33
20
105
3","2.3%
-11.4%
-13.0%
9.1%
4.9%
0.0%
7.7%
17.9%
11.9%
50.0%
100.0%
9.1%
60.0%
-32.2%
0.0%
-13.1%
43.5%
17.6%
-4.5%
-50.0%","46
27
9
11
82
26
125
106
161
5
52
19
129
28
18
28","12.2%
12.5%
125.0%
120.0%
9.3%
4.0%
17.9%
8.2%
3.9%
66.7%
-8.8%
0.0%
10.3%
-9.7%
0.0%
-17.6%",,,"194
305
112
207
150
141
115
221
132
424
36
536
161
219
872
198
709
8
10
233
204
12
127
358
52
339
20
340
931
55
155
26
133
302
83
230
16
21
3","14.8%
-8.7%
-2.6%
1.5%
6.4%
-27.3%
-22.3%
-8.3%
-12.0%
1.7%
2.9%
-7.1%
-16.1%
-0.9%
3.6%
-12.0%
-0.6%
60.0%
100.0%
-27.4%
27.5%
9.1%
-7.3%
-16.7%
-16.1%
-18.9%
0.0%
4.3%
-3.6%
14.6%
8.4%
0.0%
12.7%
4.5%
-2.4%
6.0%
300.0%
-25.0%
-50.0%",
,Subtotal,"6,313",-5.9%,"1,205",-1.4%,872,7.4%,,,"8,390",-4.0%,
"G. Bush             BUSH
School of          INTA",,,,"63
88","-7.4%
54.4%",,,,,"63
88","-7.4%
54.4%",
Govt,Subtotal,,,151,20.8%,,,,,151,20.8%,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
