"Spring 2004
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD Populations              COFD MARS
POLS SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,141,-11.9%,0,-100.0%,5,-50.0%,1,0.0%,,,,23,15.0%,,3,50.0%,173,-11.3%,
,19,280.0%,1,100.0%,3,200.0%,1,0.0%,,,,,,,,,24,242.9%,
,164,3.1%,4,-20.0%,20,0.0%,1,100.0%,,0,-100.0%,15,-11.8%,,1,-50.0%,205,0.5%,
,143,-5.3%,1,100.0%,5,-54.5%,3,-25.0%,,1,0.0%,41,7.9%,,4,-20.0%,198,-5.7%,
,44,10.0%,,,1,0.0%,1,0.0%,,,,26,0.0%,,,,72,5.9%,
,511,-0.8%,6,-14.3%,34,-20.9%,7,0.0%,,1,-50.0%,105,4.0%,,8,-11.1%,672,-1.8%,
,167,-6.2%,1,0.0%,24,-11.1%,5,-37.5%,,1,0.0%,12,9.1%,,6,20.0%,216,-6.5%,
,294,7.7%,10,25.0%,70,20.7%,13,-7.1%,,4,100.0%,7,40.0%,,6,20.0%,404,10.7%,
,696,-1.3%,8,-20.0%,70,-2.8%,5,-61.5%,,7,0.0%,7,40.0%,,9,-18.2%,802,-2.6%,
,509,-9.4%,16,128.6%,71,4.4%,29,-14.7%,,1,-50.0%,88,10.0%,,9,-10.0%,723,-5.2%,
,577,-0.3%,26,30.0%,54,5.9%,11,37.5%,,5,25.0%,25,-3.8%,,11,-8.3%,709,1.3%,
,570,15.4%,6,-33.3%,49,-14.0%,4,0.0%,,4,-33.3%,3,200.0%,,13,-18.8%,649,10.6%,
,253,-45.5%,8,-38.5%,16,-61.0%,2,-50.0%,,1,0.0%,7,0.0%,,3,-25.0%,290,-45.7%,
,82,20.6%,,,47,30.6%,1,0.0%,,,,2,0.0%,,0,-100.0%,132,22.2%,
,113,0.9%,1,0.0%,18,50.0%,2,-33.3%,,,,4,33.3%,,8,14.3%,146,5.8%,
,858,4.4%,26,-3.7%,104,2.0%,18,-5.3%,,3,0.0%,13,-13.3%,,5,-54.5%,"1,027",2.8%,
,84,21.7%,4,0.0%,12,-7.7%,,,,0,-100.0%,,,,0,-100.0%,100,13.6%,
,"1,147",-4.6%,51,4.1%,153,5.5%,39,-11.4%,,5,-37.5%,16,23.1%,,16,-5.9%,"1,427",-3.5%,
,248,0.0%,14,0.0%,44,33.3%,7,-22.2%,,2,100.0%,20,0.0%,,1,-75.0%,336,2.4%,
,"5,598",-3.1%,171,4.9%,732,2.4%,136,-15.5%,,33,-5.7%,204,8.5%,,87,-16.3%,"6,961",-2.5%,
,866,-4.2%,43,7.5%,162,-10.5%,106,14.0%,,5,-16.7%,35,16.7%,,9,-25.0%,"1,226",-3.2%,
,244,3.0%,12,-7.7%,44,15.8%,24,50.0%,,1,0.0%,106,12.8%,,5,25.0%,436,8.2%,
,336,3.4%,5,-16.7%,22,22.2%,15,7.1%,,3,200.0%,67,11.7%,,8,-11.1%,456,5.3%,
,94,14.6%,2,-33.3%,10,25.0%,3,50.0%,,1,100.0%,92,2.2%,,1,0.0%,203,9.1%,
,27,8.0%,,,1,100.0%,2,-33.3%,,,,50,-25.4%,,,,80,-15.8%,
,"1,567",-0.4%,62,0.0%,239,-2.4%,150,17.2%,,10,25.0%,350,2.6%,,23,-11.5%,"2,401",0.8%,
,"1,795",1.7%,31,-6.1%,242,19.8%,109,0.0%,,14,40.0%,8,-11.1%,,22,-26.7%,"2,221",2.9%,
,25,19.0%,,,0,-100.0%,0,-100.0%,,,,17,41.7%,,0,-100.0%,42,16.7%,
,4,-42.9%,,,,,,,,,,,,,,,4,-42.9%,
,2,-50.0%,,,,,1,0.0%,,,,1,100.0%,,,,4,-20.0%,
,40,14.3%,0,-100.0%,2,-33.3%,1,0.0%,,,,13,8.3%,,1,0.0%,57,7.5%,
,12,-36.8%,1,0.0%,0,-100.0%,1,-66.7%,,,,18,28.6%,,1,0.0%,33,-17.5%,
,"1,878",1.5%,32,-8.6%,244,17.3%,112,-2.6%,,14,40.0%,57,21.3%,,24,-27.3%,"2,361",2.7%,
,"2,309",-7.8%,91,-20.2%,355,10.2%,78,-7.1%,,11,-50.0%,19,11.8%,,12,-50.0%,"2,875",-6.8%,
,"2,309",-7.8%,91,-20.2%,355,10.2%,78,-7.1%,,11,-50.0%,19,11.8%,,12,-50.0%,"2,875",-6.8%,
,1,-80.0%,0,-100.0%,3,200.0%,,,,,,5,-28.6%,,,,9,-35.7%,
,5,0.0%,2,100.0%,1,0.0%,4,100.0%,,,,8,300.0%,,,,20,150.0%,
,1,-90.0%,,,0,-100.0%,0,-100.0%,,,,,,,,,1,-91.7%,
,,,,,,,,,,,,1,100.0%,,,,1,100.0%,
,,,,,,,,,,,,46,27.8%,,,,46,27.8%,
,25,92.3%,3,200.0%,4,-50.0%,3,0.0%,,,,8,166.7%,,8,166.7%,51,64.5%,
,32,-3.0%,5,150.0%,8,-27.3%,7,75.0%,,,,68,41.7%,,8,166.7%,128,26.7%,
,"31,659",-1.6%,978,-2.6%,"3,610",3.9%,"1,239",-1.6%,,189,-1.6%,"3,537",0.2%,,388,-20.8%,"41,600",-1.2%,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,,,,,,,,
