"Spring 2004
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
MARS POLS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
2
2
4
1
4
6
2
3
5
6
2
14
1
19
1
64
41
6
3
4
54
63
63
205
205
617","Sophomore
1
1
1
3
18
16
17
6
6
1
4
6
31
30
3
138
24
11
4
1
40
58
58
124
124
680","Junior
1
2
4
1
8
7
19
20
19
19
18
8
12
3
25
3
49
17
219
44
4
5
2
55
42
42
26
26
807","Senior
1
8
2
11
9
29
24
31
22
18
6
18
7
29
8
43
16
260
51
4
6
61
45
45
1,046","PB
4","Total
5
3
15
3
26
17
70
66
69
50
47
15
40
18
99
12
141
37
681
160
25
18
7
210
208
208
355
355
3,154",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,3,3,2,2,34,34,5,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,20,
,,,,,,,,2,2,,,,,5,
,,,,,,,,1,1,,,,,1,
,,,,,,,,6,6,2,2,,,34,
,,,,,,,,3,4,3,3,,,24,
,,,,,,,,,,,,,,70,
,,,,,,,,1,1,3,3,,,70,
,,,,,,,,1,1,1,1,,,71,
,,,,,,,,1,1,3,3,,,54,
,,,,,,,1,1,2,,,,,49,
,,,,,,,,1,1,,,,,16,
,,,,,,,,7,7,,,,,47,
,,,,,,,,,,,,,,18,
,,,,,,,,2,2,3,3,,,104,
,,,,,,,,,,,,,,12,
,,,,,,,,5,5,7,7,,,153,
,,,,,,,,4,4,3,3,,,44,
,,,,,,,2,26,28,23,23,,,732,
,,,,,,,,1,1,1,1,,,162,
,,,,,,,,12,12,7,7,,,44,
,,,,,,,2,2,4,,,,,22,
,,,,,,,,1,1,2,2,,,10,
,,,,,,,,,,1,1,,,1,
,,,,,,,2,16,18,11,11,,,239,
,,,,,,,,,,,,,,242,
,,,,,,,,2,2,,,,,2,
,,,,,,,,2,2,,,34,34,244,
,,,,,,,,,,,,,,355,
,,,,,,,,,,,,,,355,
,,,,,,,3,,3,,,,,3,
,,,,,,,,1,1,,,,,1,
,,,,,,,4,,4,,,,,4,
,,,,,,,7,1,8,,,,,8,
,,,,,,,40,230,270,152,152,34,34,"3,610",
"Prepared by OISP, 05 May 04",,,,,,,,,,,,,,,
