"Spring 2004
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education       CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
635
1266
1233
340
452
288
121
76
179
199
248
232
311
248
551
6379
766
659
269
1694
772
1885
695
330
421
654
4757
181
488
347
1595
2220
4831
499
319
556
260
1000
1250
1265
922
401
1271
262
385
8390
151
151
173
24
205
198
72
672",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,184,335,,4,12,16,2,2,2,4,21,52,1,,222,413,,
,524,579,15,30,33,42,4,6,7,6,6,3,7,4,596,670,,
,736,333,3,5,67,20,11,6,5,2,24,12,5,4,851,382,,
,36,243,5,2,4,13,1,4,,,11,19,,2,57,283,,
,153,130,10,1,17,24,17,17,,1,44,34,,4,241,211,,
,78,101,11,30,17,35,5,1,3,1,1,3,,2,115,173,,
,36,48,1,,10,8,3,2,,,4,7,1,1,55,66,,
,6,52,,1,1,4,,,,,2,7,2,1,11,65,,
,90,58,1,,4,1,1,,,,8,14,2,,106,73,,
,74,50,7,2,16,14,2,7,1,1,7,14,2,2,109,90,,
,60,132,1,2,7,16,1,3,1,,8,12,1,4,79,169,,
,45,155,1,,1,6,2,1,,2,6,11,1,1,56,176,,
,122,131,,,7,17,1,1,,3,17,10,2,,149,162,,
,21,169,,5,1,2,,,,,15,31,1,3,38,210,,
,176,276,6,,23,28,4,3,1,2,10,13,2,7,222,329,,
,"2,341","2,792",61,82,220,246,54,53,20,22,184,242,27,35,"2,907","3,472",,
,231,298,3,6,26,41,15,12,1,2,53,70,4,4,333,433,,
,54,474,2,5,11,42,4,6,,2,15,39,,5,86,573,,
,66,98,1,4,10,7,4,2,,2,34,36,2,3,117,152,,
,351,870,6,15,47,90,23,20,1,6,102,145,6,12,536,"1,158",,
,382,285,13,2,24,10,18,11,,,15,7,4,1,456,316,,
,897,751,18,13,54,43,30,32,3,7,5,25,1,6,"1,008",877,,
,217,384,5,3,10,23,11,14,,4,6,10,2,6,251,444,,
,67,147,6,6,8,9,9,6,1,2,21,45,,3,112,218,,
,170,171,5,2,23,14,9,7,1,2,7,6,2,2,217,204,,
,406,153,5,4,30,17,4,7,2,,6,12,6,2,459,195,,
,"2,139","1,891",52,30,149,116,81,77,7,15,60,105,15,20,"2,503","2,254",,
,85,56,3,3,14,11,1,6,,,,1,,1,103,78,,
,190,128,32,17,49,27,1,3,1,1,22,6,7,4,302,186,,
,189,50,15,3,47,8,3,,,,25,6,1,,280,67,,
,840,525,30,14,66,55,10,11,4,4,6,16,7,7,963,632,,
,"1,820",103,51,12,148,12,16,3,16,,30,2,7,,"2,088",132,,
,"3,124",862,131,49,324,113,31,23,21,5,83,31,22,12,"3,736","1,095",,
,60,298,1,6,12,36,5,10,,,5,62,,4,83,416,,
,97,98,6,3,13,14,12,19,1,2,16,34,2,2,147,172,,
,112,240,8,3,24,22,12,16,,,35,79,1,4,192,364,,
,28,118,10,5,21,44,3,6,,2,1,18,,4,63,197,,
,63,539,8,16,10,50,12,41,,,65,186,1,9,159,841,,
,174,663,6,14,21,82,8,26,1,2,37,204,3,9,250,"1,000",,
,55,596,8,23,12,73,21,82,,4,60,326,1,4,157,"1,108",,
,104,648,9,12,18,62,4,37,,3,1,16,1,7,137,785,,
,53,91,11,5,10,23,11,12,,,24,158,1,2,110,291,,
,106,750,4,9,6,73,4,21,,5,10,273,2,8,132,"1,139",,
,42,128,3,3,6,18,5,7,,1,12,31,1,5,69,193,,
,51,160,5,1,5,26,,10,,2,25,96,,4,86,299,,
,945,"4,329",79,100,158,523,97,287,2,21,291,"1,483",13,62,"1,585","6,805",,
,52,68,3,3,5,7,1,2,,,3,5,1,1,65,86,,
,52,68,3,3,5,7,1,2,,,3,5,1,1,65,86,,
,56,85,,,2,3,,1,,,8,15,1,2,67,106,,
,12,7,1,,2,1,1,,,,,,,,16,8,,
,54,110,2,2,6,14,,1,,,4,11,,1,66,139,,
,48,95,,1,4,1,2,1,,1,9,32,3,1,66,132,,
,22,22,,,1,,,1,,,12,14,,,35,37,,
,192,319,3,3,15,19,3,4,,1,33,72,4,4,250,422,,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,,,,,,,
