"Spring 2004
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
4
2
8
1
1
3
2
1
22
6
8
1
15
36
36
2
17
24
43
20
7
8
29
10
7
5
2
2
15
2
4
111","Sophomore
8
8
20
4
10
16
2
1
5
4
1
5
6
90
12
1
3
16
42
42
3
19
33
55
6
5
11
21
10
16
15
5
2
13
1
9
114","Junior
3
20
17
4
14
25
5
2
1
6
8
3
6
11
125
15
14
4
33
12
14
8
4
15
15
68
15
32
37
84
5
5
9
12
11
25
26
14
7
22
8
3
147","Senior
12
38
36
7
10
8
7
3
3
19
7
12
1
18
181
20
29
2
51
17
17
10
17
32
93
5
44
43
92
15
8
13
3
19
44
35
56
16
22
10
11
252","PB
1
1
2
2
1
1","Total
27
68
81
16
35
52
14
5
5
30
21
6
23
1
35
419
53
52
10
115
29
92
25
14
32
47
239
25
112
139
276
46
25
41
65
50
92
81
77
27
72
21
28
625",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,3,3,,,28,
,,,,,,,,4,4,,,,,75,
,,,,,,,,4,5,1,1,,,87,
,,,,,,,,1,1,,,,,17,
,,,,,,,,2,2,4,4,,,41,
,,,,,,,,,,,,,,52,
,,,,,,,,4,4,,,,,18,
,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,30,
,,,,,,,1,,1,1,1,,,23,
,,,,,,,,1,1,,,,,7,
,,,,,,,,,,1,1,,,24,
,,,,,,,,2,2,,,,,3,
,,,,,,,,9,9,7,7,,,51,
,,,,,,,2,28,30,17,17,,,466,
,,,,,,,,12,12,2,2,,,67,
,,,,,,,,1,1,,,,,53,
,,,,,,,,6,6,1,1,,,17,
,,,,,,,,19,19,3,3,,,137,
,,,,,,,,5,5,,,,,34,
,,,,,,,,5,5,,,,,97,
,,,,,,,,8,8,,,,,33,
,,,,,,,,2,2,1,1,,,17,
,,,,,,,,4,4,1,1,,,37,
,,,,,,,,,,,,,,47,
,,,,,,,,24,24,2,2,,,265,
,,,,,,,,,,,,,,25,
,,,,,,,14,13,27,49,49,,,76,
,,,,,,,,37,37,18,18,,,55,
,,,,,,,2,4,6,3,3,,,121,
,,,,,,,3,4,7,14,14,,,160,
,,,,,,,19,58,77,84,84,,,437,
,,,,,,,,2,2,,,,,48,
,,,,,,,,1,1,1,1,,,27,
,,,,,,,,1,1,4,4,,,46,
,,,,,,,,,,,,,,65,
,,,,,,,1,9,10,,,,,60,
,,,,,,,,8,8,3,3,,,103,
,,,,,,,,3,3,1,1,,,85,
,,,,,,,,3,3,,,,,80,
,,,,,,,,6,6,,,,,33,
,,,,,,,,6,6,1,1,,,79,
,,,,,,,,3,3,,,,,24,
,,,,,,,,3,3,,,,,31,
,,,,,,,1,45,46,10,10,,,681,
,,,,,,,7,5,12,,,,,12,
,,,,,,,7,5,12,,,,,12,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,,,,
