"Spring 2004
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
MARS POLS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
3
3
11","Sophomore
1
1
1
1
1
3
1
1
1
1
6
6
31","Junior
1
3
3
3
5
1
2
5
23
3
1
1
5
5
5
3
3
72","Senior
1
1
5
5
4
4
3
1
5
2
8
1
38
4
1
2
7
8
8
151",PB,"Total
2
2
1
6
8
8
7
8
3
5
5
14
1
66
7
2
3
1
13
14
14
12
12
265",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,2,3,1,1,8,8,3,
,,,,,,,,,,,,,,1,
,,,,,,,,2,2,,,,,4,
,,,,,,,1,4,5,1,1,,,8,
,,,,,,,,3,3,2,2,,,6,
,,,,,,,,,,,,,,6,
,,,,,,,,1,1,,,,,9,
,,,,,,,,,,1,1,,,9,
,,,,,,,,3,3,1,1,,,11,
,,,,,,,,2,2,3,3,,,13,
,,,,,,,,,,,,,,3,
,,,,,,,,2,2,1,1,,,8,
,,,,,,,,,,,,,,5,
,,,,,,,,1,1,1,1,,,16,
,,,,,,,,,,,,,,1,
,,,,,,,,12,12,9,9,,,87,
,,,,,,,,2,2,,,,,9,
,,,,,,,,1,1,2,2,,,5,
,,,,,,,1,4,5,,,,,8,
,,,,,,,,,,,,,,1,
,,,,,,,1,7,8,2,2,,,23,
,,,,,,,,,,,,,,22,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,2,2,8,8,24,
,,,,,,,,,,,,,,12,
,,,,,,,,,,,,,,12,
,,,,,,,8,,8,,,,,8,
,,,,,,,8,,8,,,,,8,
,,,,,,,18,66,84,31,31,8,8,388,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,,,,
