Texas A&M University,,,,,,,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,,,,,,,
Headcount by College by Ethnic Origin by Gender,,,,,,,,,,,,,,,,,,
Spring 2004,,,,,,,,,,,,,,,,,,
Enrollment Profile – Spring 2004 Official Certified 12th Class Data,,,,,,,,,,,,,,,,,,
"Spring 2004
Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations
Grand Total",International,,Black,,Am. Indian,,Asian,,Hispanic,,White,,Unknown/Other,,Grand Total,,"Total
6,379
1,694
4,757
4,831
8,390
151
672
6,961
2,401
2,361
2,875
128
41,600",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,184,242,61,82,20,22,54,53,220,246,"2,341","2,792",27,35,"2,907","3,472",,
,102,145,6,15,1,6,23,20,47,90,351,870,6,12,536,"1,158",,
,60,105,52,30,7,15,81,77,149,116,"2,139","1,891",15,20,"2,503","2,254",,
,83,31,131,49,21,5,31,23,324,113,"3,124",862,22,12,"3,736","1,095",,
,291,"1,483",79,100,2,21,97,287,158,523,945,"4,329",13,62,"1,585","6,805",,
,3,5,3,3,,,1,2,5,7,52,68,1,1,65,86,,
,33,72,3,3,,1,3,4,15,19,192,319,4,4,250,422,,
,97,107,124,47,21,12,80,56,399,333,"3,273","2,325",44,43,"4,038","2,923",,
,107,243,38,24,3,7,89,61,135,104,903,664,12,11,"1,287","1,114",,
,26,31,24,8,9,5,73,39,173,71,"1,264",614,13,11,"1,582",779,,
,6,13,36,55,6,5,26,52,148,207,"1,074","1,235",3,9,"1,299","1,576",,
,33,35,3,2,,,5,2,4,4,20,12,6,2,71,57,,
,"1,025","2,512",560,418,90,99,563,676,"1,777","1,833","15,678","15,981",166,222,"19,859","21,741",,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,,,,,,,
