"Spring 2004
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
3
1
1
5
1
1
1
1
1
2
2
7
15
2
2
31","Sophomore
3
2
1
6
2
1
3
5
5
1
1
2
4
4
8
3
19
8
8
1
11
66","Junior
2
1
2
2
4
2
13
1
1
2
1
2
1
6
1
2
3
1
4
10
1
8
4
41
4
11
5
2
2
93","Senior
7
1
2
3
4
1
1
3
2
1
25
1
1
2
4
4
4
4
2
3
17
1
2
3
4
6
20
9
24
13
16
10
3
4
109","PB
1
1
2
4","Total
9
2
7
5
13
4
1
1
4
2
1
49
4
3
2
9
6
6
4
6
2
4
28
1
1
3
4
9
6
8
22
3
43
17
99
17
37
24
6
21
303",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,29,29,35,35,,,73,
,,,,,,,,3,3,4,4,,,9,
,,,,,,,,16,16,13,13,,,36,
,,,,,,,,14,14,11,11,,,30,
,,,,,,,,22,23,42,42,,,78,
,,,,,,,,,,,,,,4,
,,,,,,,,4,4,7,7,,,11,
,,,,,,,1,2,3,6,6,,,9,
,,,,,,,,6,6,16,16,,,22,
,,,,,,,,3,3,17,17,,,21,
,,,,,,,,9,9,11,11,,,20,
,,,,,,,,3,3,13,13,,,17,
,,,,,,,,3,3,20,20,,,27,
,,,,,,,,18,18,26,26,,,46,
,,,,,,,,4,4,18,18,,,23,
,,,,,,,2,136,138,239,239,,,426,
,,,,,,,1,78,79,40,40,,,123,
,,,,,,,,51,51,,,,,54,
,,,,,,,,40,40,28,28,,,70,
,,,,,,,1,169,170,68,68,,,247,
,,,,,,,,11,11,5,5,,,22,
,,,,,,,1,23,24,,,,,30,
,,,,,,,,7,7,5,5,,,16,
,,,,,,,,52,52,8,8,,,66,
,,,,,,,,1,1,10,10,,,13,
,,,,,,,,6,6,8,8,,,18,
,,,,,,,1,100,101,36,36,,,165,
,,,,,,,,,,,,,,1,
,,,,,,,,3,3,24,24,,,28,
,,,,,,,,7,7,24,24,,,31,
,,,,,,,,8,8,11,11,,,22,
,,,,,,,,12,12,16,16,,,32,
,,,,,,,,30,30,75,75,,,114,
,,,,,,,,21,21,40,40,,,67,
,,,,,,,,20,20,22,22,,,50,
,,,,,,,,26,26,66,66,,,114,
,,,,,,,,2,2,14,14,,,19,
,,,,,,,4,95,99,109,109,,,251,
,,,,,,,,117,117,107,107,,,241,
,,,,,,,1,119,120,167,167,,,386,
,,,,,,,,,,,,,,17,
,,,,,,,,99,99,46,46,,,182,
,,,,,,,3,143,146,113,113,,,283,
,,,,,,,,21,21,16,16,,,43,
,,,,,,,3,72,75,25,25,,,121,
,,,,,,,11,735,746,725,725,,,"1,774",
,,,,,,,1,7,8,,,,,8,
,,,,,,,1,7,8,,,,,8,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,,,,
