"Spring 2004
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
MARS POLS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
2
1
1
6
6
1
18
19
3
22
23
23
37
37
176","Sophomore
1
1
1
3
4
1
1
3
4
13
30
2
3
35
17
17
35
35
205","Junior
1
4
3
10
3
2
1
1
7
7
4
43
31
3
3
2
39
36
36
6
6
277","Senior
2
4
1
14
4
1
1
5
17
1
50
25
5
5
35
23
23
400","PB
1","Total
1
1
1
3
3
13
5
27
10
4
2
1
1
18
34
6
124
105
13
11
2
131
99
99
78
78
1,059",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,3,1,1,2,2,10,10,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,3,
,,,,,,,,1,1,,,,,1,
,,,,,,,,2,2,2,2,,,7,
,,,,,,,,1,1,1,1,,,5,
,,,,,,,,,,,,,,13,
,,,,,,,,,,,,,,5,
,,,,,,,,1,1,1,1,,,29,
,,,,,,,,,,1,1,,,11,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,,,,,18,
,,,,,,,,1,1,4,4,,,39,
,,,,,,,,,,1,1,,,7,
,,,,,,,,4,4,8,8,,,136,
,,,,,,,,,,1,1,,,106,
,,,,,,,,8,8,3,3,,,24,
,,,,,,,,3,3,1,1,,,15,
,,,,,,,,,,1,1,,,3,
,,,,,,,,,,2,2,,,2,
,,,,,,,,11,11,8,8,,,150,
,,,,,,,,,,,,,,109,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,2,2,10,10,112,
,,,,,,,,,,,,,,78,
,,,,,,,,,,,,,,78,
,,,,,,,,4,4,,,,,4,
,,,,,,,,,3,,,,,3,
,,,,,,,3,4,7,,,,,7,
,,,,,,,11,98,109,61,61,10,10,"1,239",
"Prepared by OISP, 05 May 04",,,,,,,,,,,,,,,
