"Spring 2004
Business                  ACCT
Admin                     AGBU BUAD BUAG FINC INFO MGMT MISY MKTG MLER
Subtotal
Education                CPSY EDAD EDCI EDHL EDIS EDIT EDKI EDTC EHRD EPSY HEED HLTH INST ISNC KINE PHED SPSY TECR
Subtotal",Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,"1st Time in College
10
10
4
4
1
9","1st Time PB
1
1","1st Time Transfer
2
2
11
63
1
44
9
8
136","Readmitted
3
2
1
3
2
11
1
9
6
1
1
1
4
23","Continuing
621
4
1,663
11
529
218
365
609
4,020
182
831
759
122
986
171
332
33
3,416",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
,,,,,,2,6,1,130,5,1,15,,,772,
,,,,,,,,,,,,,,,4,
,,,,,,,,,190,,,,,,"1,870",
,,,,,,,,,,,,,,,11,
,,,,,,,4,,96,,,9,,,640,
,,,,,,,,,,,,11,,,230,
,,,,,,,1,,29,,,23,,,421,
,,,,,,,2,,98,,,,,,100,
,,,,,,,2,,27,,,14,,,654,
,,,,,,,15,,40,,,,,,55,
,,,,,,2,30,,610,,,72,,,"4,757",
,,,,,,,,,6,,,35,,,41,
,,,,,,24,8,,90,,,194,,,322,
,,,,,,24,27,,97,9,,126,,,283,
,,,,,,,,,,,,,,,194,
,,,,,,,,,,,,,,,908,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,813,
,,,,,,,6,,33,,,,,,39,
,,,,,,8,9,,25,7,1,115,,,165,
,,,,,,5,17,,99,4,1,94,,,221,
,,,,,,,1,,13,1,1,15,,,31,
,,,,,,,,,,,,,,,123,
,,,,,,,,,,,,,,,996,
,,,,,,,,,,,,,,,181,
,,,,,,4,5,,56,,,20,,,421,
,,,,,,,,,6,,,7,,,13,
,,,,,,,,,6,,,40,,,46,
,,,,,,,,,,,,,,,33,
,,,,,,65,73,1,431,26,4,646,,,"4,831",
"Prepared by OISP, 05 May 04",,,,,,,,,,,,,,,,
