"Spring 2004
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
MARS POLS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
2
4
1
5
2
2
7
7
1
41
42
97","Sophomore
1
1
2
5
1
1
1
10
3
1
1
5
2
2
10
10
110","Junior
1
6
1
4
1
13
1
1
1
1
2
2
133","Senior
2
7
1
4
1
15
3
2
5
3
3
181","PB
4","Total
1
1
2
5
20
1
1
1
9
3
40
11
1
3
1
16
8
8
19
19
1
41
42
525",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,5,7,15,15,,,23,
,,,,,,,,4,4,10,10,,,15,
,,,,,,,,19,19,22,22,,,41,
,,,,,,,,9,9,17,17,,,26,
,,,,,,,2,37,39,64,64,,,105,
,,,,,,,,7,7,5,5,,,12,
,,,,,,,,2,2,,,,,7,
,,,,,,,,2,2,5,5,,,7,
,,,,,,,,25,25,43,43,,,88,
,,,,,,,,9,9,16,16,,,25,
,,,,,,,1,,1,1,1,,,3,
,,,,,,,,6,6,,,,,7,
,,,,,,,,2,2,,,,,2,
,,,,,,,,2,2,2,2,,,4,
,,,,,,,,1,1,11,11,,,13,
,,,,,,,,2,2,5,5,,,16,
,,,,,,,,4,4,13,13,,,20,
,,,,,,,1,62,63,101,101,,,204,
,,,,,,,,5,5,19,19,,,35,
,,,,,,,,38,38,67,67,,,106,
,,,,,,,1,17,18,46,46,,,67,
,,,,,,,,21,21,70,70,,,92,
,,,,,,,1,16,17,33,33,,,50,
,,,,,,,2,97,99,235,235,,,350,
,,,,,,,,,,,,,,8,
,,,,,,,,4,4,13,13,,,17,
,,,,,,,,1,1,,,,,1,
,,,,,,,,9,9,4,4,,,13,
,,,,,,,,2,2,16,16,,,18,
,,,,,,,,16,16,33,33,,,57,
,,,,,,,,,,,,,,19,
,,,,,,,,,,,,,,19,
,,,,,,,5,,5,,,,,5,
,,,,,,,,5,5,3,3,,,8,
,,,,,,,,,,,,,,1,
,,,,,,,5,,5,,,,,46,
,,,,,,,8,,8,,,,,8,
,,,,,,,18,5,23,3,3,,,68,
,,,,,,,39,"1,394","1,433","1,579","1,579",,,"3,537",
"Prepared by OISP, 05 May 04",,,,,,,,,,,,,,,
