"Spring 2004
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
2
2
1
1
2","Sophomore
1
2
1
1
1
1
7
1
1
1
1
1
1
2
1
1
1
3
2
8","Junior
2
1
2
1
1
1
1
9
1
1
1
1
2
2
6
1
4
5
1
1
1
1
1
1
3
3
3
15","Senior
9
2
1
1
1
1
3
2
1
1
3
25
4
1
2
7
3
4
1
3
6
17
7
4
11
2
1
4
2
4
8
4
4
2
3
2
1
37",PB,"Total
1
11
6
1
1
2
1
1
1
4
4
2
2
1
5
43
4
3
2
9
4
4
6
1
3
8
26
1
12
5
18
3
3
4
4
7
10
5
7
2
9
5
3
62",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,3,3,1,1,,,1,
,,,,,,,,,,,,,,11,
,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,2,
,,,,,,,,3,3,,,,,4,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,,,,2,
,,,,,,,,1,2,,,,,3,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,,,,,4,
,,,,,,,,1,1,,,,,5,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,2,
,,,,,,,,2,2,1,1,,,4,
,,,,,,,,3,3,1,1,,,9,
,,,,,,,1,15,16,3,3,,,62,
,,,,,,,,3,3,1,1,,,8,
,,,,,,,,2,2,,,,,5,
,,,,,,,,2,2,1,1,,,5,
,,,,,,,,7,7,2,2,,,18,
,,,,,,,,1,1,,,,,5,
,,,,,,,,3,3,,,,,7,
,,,,,,,,2,2,,,,,8,
,,,,,,,,1,1,1,1,,,3,
,,,,,,,,,,1,1,,,4,
,,,,,,,,,,,,,,8,
,,,,,,,,7,7,2,2,,,35,
,,,,,,,,,,,,,,1,
,,,,,,,3,1,4,7,7,,,11,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,1,1,,,14,
,,,,,,,1,,1,1,1,,,7,
,,,,,,,4,3,7,9,9,,,34,
,,,,,,,,1,1,,,,,4,
,,,,,,,,1,1,,,,,4,
,,,,,,,,1,1,,,,,5,
,,,,,,,,,,,,,,4,
,,,,,,,,3,3,,,,,10,
,,,,,,,,2,2,,,,,12,
,,,,,,,,,,,,,,5,
,,,,,,,,1,1,,,,,8,
,,,,,,,,1,1,,,,,3,
,,,,,,,,1,1,,,,,10,
,,,,,,,,,,1,1,,,6,
,,,,,,,1,,1,,,,,4,
,,,,,,,1,11,12,1,1,,,75,
,,,,,,,2,,2,,,,,2,
,,,,,,,2,,2,,,,,2,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,,,,
