"Spring 2004
Head Count       Total
Gender              Female Male
Ethnicity           White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age       <18
Categories         18-21
22-25
26-30
31-39
40+
College              Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations Enrollment        1st Time in College
Status                1st Time PB
1st Time Graduate 1st Time Professional 1st Time Transfer Readmitted Continuing
Tuition              Resident Tuition
Status                 Non-Resident Tuition Tuition Exemption/Waiver
Residency          Texas Resident
Status                Non-TX, US Resident
Non-TX, Non-US Resident
SCH                  < 6 SCH
Categories         6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                 Less Than Half Time
TAMU              Half-Time
Full-Time",Undergraduate,,Masters,,PhD,,Professional,Grand Total,,
,Off-campus,Dorm,Off-campus,Dorm,Off-campus,Dorm,Off-campus,Off-campus,Dorm,
,,(On-campus),,(On-campus),,(On-campus),,,(On-campus),
,"24,138","9,223","4,492",17,"3,227",2,501,"32,358","9,242",
,"12,328","4,091","1,870",2,"1,205",1,362,"15,765","4,094",
,"11,810","5,132","2,622",15,"2,022",1,139,"16,593","5,148",
,"20,143","7,275","2,497",9,"1,288",1,446,"24,374","7,285",
,477,291,99,1,109,,1,686,292,
,"2,096","1,058",268,2,152,,34,"2,550","1,060",
,694,365,107,2,61,,10,872,367,
,131,41,7,,8,,2,148,41,
,384,141,"1,430",3,"1,578",1,,"3,392",145,
,213,52,84,,31,,8,336,52,
,4,3,,,,,,4,3,
,"10,153","7,860",2,,,,5,"10,160","7,860",
,"12,898","1,335","2,050",15,160,1,241,"15,349","1,351",
,729,22,"1,447",2,"1,151",1,181,"3,508",25,
,230,3,661,,"1,288",,63,"2,242",3,
,124,,332,,628,,11,"1,095",,
,"4,261",937,628,3,550,,,"5,439",940,
,941,276,374,1,102,,,"1,417",277,
,"3,020","1,023",638,4,72,,,"3,730","1,027",
,"2,988",597,568,2,676,,,"4,232",599,
,"4,162","2,151","1,199",6,870,2,,"6,231","2,159",
,,,151,,,,,151,,
,269,123,164,,116,,,549,123,
,"4,850","1,420",318,1,372,,,"5,540","1,421",
,"1,080",626,306,,389,,,"1,775",626,
,"1,081",639,63,,77,,501,"1,722",639,
,"1,471","1,404",,,,,,"1,471","1,404",
,15,27,83,,3,,,101,27,
,42,52,,,,,,42,52,
,12,,174,,,,,186,,
,,,349,3,100,,,449,3,
,,,,,,,1,1,,
,623,92,,,,,,623,92,
,230,17,2,,7,,,239,17,
,"23,231","9,062","3,967",14,"3,120",2,500,"30,818","9,078",
,"23,070","8,586","2,388",13,"1,161",1,474,"27,093","8,600",
,718,257,528,1,416,,6,"1,668",258,
,350,380,"1,576",3,"1,650",1,21,"3,597",384,
,"23,096","8,593","2,398",13,"1,166",1,474,"27,134","8,607",
,645,484,652,1,473,,27,"1,797",485,
,397,146,"1,442",3,"1,588",1,,"3,427",150,
,729,124,711,1,725,,,"2,165",125,
,"1,244",57,414,,199,,,"1,857",57,
,"1,883",134,"2,461",8,"2,202",1,,"6,546",143,
,"13,244","5,529",672,6,89,1,,"14,005","5,536",
,"6,506","3,210",150,2,10,,,"6,666","3,212",
,532,169,84,,2,,501,"1,119",169,
,606,123,592,1,601,,,"1,799",124,
,"1,024",57,524,,312,,,"1,860",57,
,"1,821",130,,,,,,"1,821",130,
,"20,687","8,913","3,376",16,"2,314",2,501,"26,878","8,931",
"Prepared by OISP, 05 May 04",,,,,,,,,,
