Spring 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,392,-6.4%,164,3.8%,116,8.4%,,,672,-1.8%,
Gender,Female,143,-21.4%,68,4.6%,39,8.3%,,,250,-11.7%,
,Male,249,5.1%,96,3.2%,77,8.5%,,,422,5.2%,
Ethnicity,White,355,-4.1%,110,8.9%,46,4.5%,,,511,-0.8%,
,Black,4,-42.9%,2,100.0%,,,,,6,-14.3%,
,Hispanic,26,-18.8%,6,-33.3%,2,0.0%,,,34,-20.9%,
,Asian,3,0.0%,2,-33.3%,2,100.0%,,,7,0.0%,
,American Indian,0,-100.0%,,,1,0.0%,,,1,-50.0%,
,International,2,100.0%,39,-4.9%,64,8.5%,,,105,4.0%,
,Unknown/Other,2,-60.0%,5,25.0%,1,100.0%,,,8,-11.1%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,154,-11.5%,,,,,,,154,-11.5%,
,22-25,201,-1.5%,62,1.6%,1,-66.7%,,,264,-1.5%,
,26-30,23,-4.2%,65,10.2%,32,33.3%,,,120,12.1%,
,31-39,9,-18.2%,31,0.0%,61,0.0%,,,101,-1.9%,
,40+,5,-16.7%,6,-14.3%,22,15.8%,,,33,3.1%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,1,100.0%,2,0.0%,,,,,3,50.0%,
,1st Time Graduate,,,11,175.0%,4,300.0%,,,15,200.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,10,150.0%,,,,,,,10,150.0%,
,Readmitted,2,-33.3%,,,,,,,2,-33.3%,
,Continuing,379,-8.0%,151,-0.7%,112,5.7%,,,642,-4.2%,
Tuition,Resident Tuition,373,-6.3%,58,23.4%,21,10.5%,,,452,-2.6%,
Status,Non-Resident Tuition,8,14.3%,6,-70.0%,19,11.8%,,,33,-25.0%,
,Tuition  Exemption/Waiver,11,-21.4%,100,9.9%,76,7.0%,,,187,6.3%,
Residency,Texas Resident,376,-5.8%,57,23.9%,20,5.3%,,,453,-2.4%,
Status,"Non-TX, US Resident",15,-21.1%,68,-1.4%,32,10.3%,,,115,-1.7%,
,"Non-TX, Non-US Resident",1,0.0%,39,-9.3%,64,8.5%,,,104,1.0%,
SCH,< 6 SCH,6,0.0%,21,-25.0%,23,4.5%,,,50,-10.7%,
Categories,6-8 SCH,15,-31.8%,4,0.0%,2,100.0%,,,21,-22.2%,
,9-11 SCH,21,23.5%,130,31.3%,89,9.9%,,,240,21.8%,
,12-14 SCH,212,-3.2%,3,-87.0%,2,100.0%,,,217,-10.7%,
,15-17 SCH,128,-10.5%,4,0.0%,0,-100.0%,,,132,-11.4%,
,>17 SCH,10,-16.7%,2,100.0%,,,,,12,0.0%,
Ft/Pt:,Less Than Half Time,5,-16.7%,18,-33.3%,21,5.0%,,,44,-17.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","15
21","-28.6%
50.0%",7,40.0%,4,33.3%,,,"26
21","-10.3%
50.0%",
,Full-Time,351,-7.1%,139,10.3%,91,8.3%,,,581,-1.2%,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,
