"Spring 2003
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special         CLMD Populations              COFD
MARS SABX SRPH
Subtotal
University                Total",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
1
1
1
2
1
2
7
2
10
1
26
10
2
1
13
8
8
66
66
186","Sophomore
3
1
2
1
3
4
10
2
26
11
2
13
10
10
44
44
189","Junior
1
1
1
2
3
3
7
3
4
1
10
2
15
3
54
6
1
1
8
6
6
3
3
168","Senior
1
4
5
2
5
2
5
2
6
6
11
4
43
13
5
2
20
9
9
1
1
281","PB
1","Total
2
5
7
1
8
10
7
16
6
13
1
27
4
46
10
149
40
8
5
1
54
33
33
114
114
825",PB,Master,Total,Master,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,3,4,1,2,2,,,2,
,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,,20,
,,,,,,,,1,1,,,,,,9,
,,,,,,,,,,,,,,,13,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,27,
,,,,,,,,,,,,,,,4,
,,,,,,,,1,1,,2,2,,,49,
,,,,,,,1,2,3,,1,1,,,14,
,,,,,,,2,7,9,,5,5,,,163,
,,,,,,,,,,,,,,,40,
,,,,,,,,3,3,,2,2,,,13,
,,,,,,,,1,1,,,,,,6,
,,,,,,,,1,1,,1,1,,,3,
,,,,,,,,5,5,,3,3,,,62,
,,,,,,,,,,,,,,,33,
,,,,,,,,1,1,,,,,,1,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,,1,1,,,35,
,,,,,,,,,,,,,,,114,
,,,,,,,,,,,,,,,114,
,,,,,,,1,,1,,,,,,1,
,,,,,,,1,,1,,,,,,1,
,,,,,,,2,,2,,,,,,2,
,,,,,,,18,63,81,,97,98,,,"1,004",
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,
