"Spring 2003
Agriculture               AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal
Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH  of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
6
7
15
8
3
4
1
1
1
46
9
1
3
13
39
39
6
18
24
6
10
13
35
10
7
20
2
2
8
6
119","Sophomore
1
9
11
1
11
9
1
3
3
2
1
5
1
5
63
11
6
4
21
53
53
3
1
20
21
45
11
7
8
22
8
19
24
8
6
20
5
3
141","Junior
7
11
23
5
5
19
5
2
3
9
4
2
8
9
112
12
16
2
30
12
15
10
7
12
19
75
1
1
35
23
60
8
4
6
7
15
28
29
31
10
16
6
7
167","Senior
11
26
34
13
17
9
3
1
4
12
7
3
10
2
12
164
16
25
2
43
16
18
13
16
22
85
46
43
89
17
7
13
22
38
23
73
12
21
8
8
242","PB
3
3
1
1
1
3","Total
25
53
83
19
41
40
9
6
7
28
14
7
23
3
27
385
48
48
11
107
28
107
28
20
28
41
252
4
2
107
108
221
42
28
40
64
55
93
97
114
31
65
19
24
672",PB,Master,Total,Master,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,2,2,1,1,1,,,28,
,,,,,,,,5,5,,3,3,,,61,
,,,,,,,,2,2,,2,2,,,87,
,,,,,,,,1,1,,,,,,20,
,,,,,,,,1,1,,1,1,,,43,
,,,,,,,,,,,,,,,40,
,,,,,,,,2,2,,1,1,,,12,
,,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,,28,
,,,,,,,,1,1,,1,1,,,16,
,,,,,,,,1,1,,,,,,8,
,,,,,,,,1,1,,,,,,24,
,,,,,,,,2,2,,,,,,5,
,,,,,,,,7,8,,8,8,,,43,
,,,,,,,1,25,26,,17,17,,,428,
,,,,,,,,11,11,,1,1,,,60,
,,,,,,,,1,1,,,,,,49,
,,,,,,,,3,3,,2,2,,,16,
,,,,,,,,15,15,,3,3,,,125,
,,,,,,,,8,8,,,,,,36,
,,,,,,,,14,14,,,,,,121,
,,,,,,,,3,3,,,,,,31,
,,,,,,,,2,2,,2,2,,,24,
,,,,,,,,3,3,,,,,,31,
,,,,,,,,3,3,,,,,,44,
,,,,,,,,33,33,,2,2,,,287,
,,,,,,,,,,,,,,,4,
,,,,,,,11,8,19,,49,50,,,71,
,,,,,,,7,20,27,,18,18,,,45,
,,,,,,,,4,4,,2,2,,,113,
,,,,,,,1,1,2,,15,15,,,125,
,,,,,,,19,33,52,1,84,85,,,358,
,,,,,,,,1,1,,,,,,43,
,,,,,,,,1,1,,,,,,29,
,,,,,,,,,,,2,2,,,42,
,,,,,,,,,,,,,,,64,
,,,,,,,2,5,7,,1,1,,,63,
,,,,,,,,7,7,,3,3,,,103,
,,,,,,,,2,2,,1,1,,,100,
,,,,,,,,1,1,,,,,,115,
,,,,,,,,5,5,,,,,,36,
,,,,,,,,5,5,,1,1,,,71,
,,,,,,,,2,2,,,,,,21,
,,,,,,,1,3,4,,,,,,28,
,,,,,,,3,32,35,,8,8,,,715,
,,,,,,,7,9,16,,,,,,16,
,,,,,,,7,9,16,,,,,,16,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,
