"Spring 2003
Agriculture               AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal
Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH  of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
1
2
1
4
5
5
1
1
1
1
10
1
18
6
3
5
45","Sophomore
1
1
1
1
4
4
1
1
2
1
5
10
2
22
1
8
4
2
55","Junior
4
1
1
1
1
1
9
1
1
2
2
1
2
3
2
2
12
1
1
2
4
1
7
16
8
17
7
10
7
2
79","Senior
8
6
2
2
4
2
1
1
2
2
30
2
2
4
6
4
5
3
2
20
1
1
2
2
7
21
6
25
12
19
8
5
4
109","PB
1
1
1
1
4","Total
12
6
4
4
7
4
1
1
2
3
44
3
1
3
7
8
10
6
8
5
4
41
4
3
7
8
1
20
58
18
82
20
43
23
5
14
292",PB,Master,Total,Master,PhD,Total,Professional Veterinary,Total,,
,,,,,,,5,26,31,3,33,33,,,76,
,,,,,,,,2,2,,4,4,,,12,
,,,,,,,1,15,16,,13,13,,,33,
,,,,,,,,16,16,,7,7,,,27,
,,,,,,,1,26,27,,35,35,,,69,
,,,,,,,,,,,,,,,4,
,,,,,,,,5,5,,9,9,,,14,
,,,,,,,,3,3,,8,8,,,11,
,,,,,,,,6,6,,15,15,,,21,
,,,,,,,,6,6,,15,15,,,22,
,,,,,,,,4,4,,11,11,,,15,
,,,,,,,,2,2,,15,15,,,18,
,,,,,,,,6,6,,15,15,,,23,
,,,,,,,,24,24,,27,27,,,54,
,,,,,,,1,8,9,,12,12,,,21,
,,,,,,,8,149,157,,219,219,,,420,
,,,,,,,3,84,87,,37,40,,,130,
,,,,,,,,55,55,,,,,,56,
,,,,,,,1,32,33,,21,21,,,57,
,,,,,,,4,171,175,3,58,61,,,243,
,,,,,,,,16,16,,5,5,,,29,
,,,,,,,1,50,51,,,,,,61,
,,,,,,,,19,19,,4,4,,,29,
,,,,,,,,33,33,,10,10,,,51,
,,,,,,,,1,1,,13,13,,,19,
,,,,,,,,9,9,,5,5,,,18,
,,,,,,,1,128,129,,37,37,,,207,
,,,,,,,1,1,2,,20,20,,,22,
,,,,,,,3,10,13,,20,20,,,33,
,,,,,,,,3,3,1,8,9,,,16,
,,,,,,,,5,5,,11,11,,,19,
,,,,,,,4,19,23,1,59,60,,,90,
,,,,,,,,30,30,,36,36,,,74,
,,,,,,,,29,29,,20,20,,,50,
,,,,,,,1,31,32,,62,62,,,114,
,,,,,,,,1,1,,11,11,,,12,
,,,,,,,8,107,115,,88,88,,,261,
,,,,,,,,99,99,,92,92,,,209,
,,,,,,,1,104,105,,164,164,,,351,
,,,,,,,,,,,,,,,20,
,,,,,,,2,157,159,,49,49,,,251,
,,,,,,,5,165,170,,103,103,,,296,
,,,,,,,,18,18,,20,20,,,43,
,,,,,,,,96,96,,31,31,,,141,
,,,,,,,17,837,854,,676,676,,,"1,822",
,,,,,,,,5,5,,,,,,5,
,,,,,,,,5,5,,,,,,5,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,
