Country,Undergraduate,Masters,PhD,Professional,Total Students
Greece,,4,10,,14
Guatemala,22,3,2,,27
Honduras,17,3,3,,23
Hong Kong,11,3,9,,23
Hungary,,,1,,1
Iceland,,,1,,1
India,50,624,114,,788
Indonesia,49,21,18,,88
Iran,2,9,12,,23
Iraq,,,1,,1
Israel,1,3,1,,5
Italy,2,5,3,,10
Jamaica,1,,2,,3
Japan,4,16,9,,29
Jordan,1,4,13,,18
Kazakhstan,4,4,1,,9
Kenya,1,1,2,,4
"Korea, Republic of",24,175,391,,590
Kuwait,,6,3,,9
Lebanon,1,3,7,,11
Madagascar,,1,,,1
Malawi (Central Africa),,1,1,,2
Malaysia,5,4,5,,14
Mali,,,1,,1
Mauritius,,,1,,1
Mexico,22,46,57,,125
Moldova,,,1,,1
Mongolia,,1,,,1
Morocco,,3,1,,4
Mozambique,,1,,,1
Nepal,1,2,,,3
Netherlands,,,2,,2
Nicaragua,8,1,1,,10
Nigeria,16,22,7,,45
Norway,3,4,1,,8
Oman,2,1,,,3
Pakistan,9,10,3,,22
Panama,13,,,,13
Paraguay,1,,1,,2
Peru,1,13,7,,21
Philippines,,2,6,,8
Portugal,3,2,4,,9
