"Spring 2003
Agriculture               AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal
Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH  of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
52
92
114
34
38
12
1
5
7
14
15
3
14
8
35
444
68
38
4
110
626
626
4
1
119
214
338
97
43
56
67
126
120
114
32
16
164
23
42
900","Sophomore
113
180
198
52
46
58
4
8
19
17
29
22
42
25
68
881
91
78
25
194
762
2
1
2
767
11
4
243
350
608
80
32
75
35
123
162
138
81
21
165
23
27
962","Junior
170
324
263
59
61
95
8
12
40
26
42
39
85
40
103
1,367
108
180
28
316
252
145
201
93
131
251
1,073
12
1
392
443
848
67
39
76
22
128
218
189
230
43
190
42
46
1,290","Senior
236
439
285
124
98
30
12
18
60
50
42
48
145
50
149
1,786
191
220
52
463
260
3
248
175
155
353
1,194
3
453
612
1,068
100
58
130
2
237
238
244
452
59
273
36
60
1,889","PB
1
1
1
3
2
1
5
14
1
27
28
2
1
4
10
1
2
1
21","Total
571
1,036
861
270
243
198
25
43
128
107
129
112
286
123
360
4,492
458
516
109
1,083
512
1,536
451
268
287
606
3,660
30
6
1,208
1,646
2,890
344
172
339
126
615
742
695
796
139
794
124
176
5,062",PB,Master,Total,Master,PhD,Total,Professional Veterinary,Total,,
,,,,,,,3,40,43,,8,8,,,622,
,,,,,,,3,55,58,,45,45,,,"1,139",
,,,,,,,5,71,76,,32,32,,,969,
,,,,,,,,18,18,,6,6,,,294,
,,,,,,,2,17,19,,35,35,,,297,
,,,,,,,,,,,,,,,198,
,,,,,,,,18,18,,18,18,,,61,
,,,,,,,1,7,8,,1,1,,,52,
,,,,,,,,17,17,,10,10,,,155,
,,,,,,,,2,2,,9,9,,,118,
,,,,,,,,8,8,,7,7,,,144,
,,,,,,,1,29,30,,16,16,,,158,
,,,,,,,1,16,17,,12,12,,,315,
,,,,,,,,39,39,,29,29,,,191,
,,,,,,,1,79,80,,47,47,,,487,
,,,,,,,17,416,433,,275,275,,,"5,200",
,,,,,,,5,90,95,,12,12,,,565,
,,,,,,,,20,20,,,,,,536,
,,,,,,,,24,24,,14,14,,,147,
,,,,,,,5,134,139,,26,26,,,"1,248",
,,,,,,,,91,91,,10,10,,,613,
,,,,,,,5,178,183,,,,,,"1,719",
,,,,,,,,128,128,,5,5,,,584,
,,,,,,,,45,45,,2,2,,,315,
,,,,,,,,26,26,,8,8,,,321,
,,,,,,,,32,32,,7,7,,,645,
,,,,,,,5,500,505,,32,32,,,"4,197",
,,,,,,,,,,,,,,,30,
,,,,,,,31,106,137,,214,214,,,357,
,,,,,,,23,101,124,,125,125,,,249,
,,,,,,,7,59,66,,29,29,,,"1,303",
,,,,,,,32,63,95,,59,59,,,"1,800",
,,,,,,,93,329,422,,427,427,,,"3,739",
,,,,,,,,12,12,,5,5,,,361,
,,,,,,,,12,12,,4,4,,,188,
,,,,,,,1,3,4,,10,10,,,353,
,,,,,,,,,,,8,8,,,134,
,,,,,,,7,41,48,,21,21,,,684,
,,,,,,,,64,64,,17,17,,,823,
,,,,,,,,27,27,,11,11,,,733,
,,,,,,,,13,13,,,,,,809,
,,,,,,,,10,10,,6,6,,,155,
,,,,,,,1,61,62,,11,11,,,867,
,,,,,,,,17,17,,8,8,,,149,
,,,,,,,2,7,9,,3,3,,,188,
,,,,,,,11,267,278,,104,104,,,"5,444",
,,,,,,,33,60,93,,,,,,93,
,,,,,,,33,60,93,,,,,,93,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,
