Country,Undergraduate,Masters,PhD,Professional,Total Students
Albania,,1,,,1
Algeria,,,1,,1
Angola,5,3,,,8
Antigua and Barbuda,,1,,,1
Argentina,2,6,8,,16
Armenia,,2,1,,3
Australia,4,2,,,6
Austria,2,3,1,,6
Azerbaijan,,4,,,4
"Bahamas, The",,2,,,2
Bangladesh,6,8,10,,24
Barbados,,1,,,1
Belarus,,2,5,,7
Belgium,1,,,,1
Belize (British Honduras),,1,,,1
Bolivia,7,2,2,,11
Brazil,4,10,8,,22
Bulgaria,,7,4,,11
Burma (Myanmar),,1,,,1
Cameroon,2,,,,2
Canada,13,13,23,,49
Chile,,1,3,,4
"China, People's Rep of",16,273,389,,678
Colombia,18,31,6,,55
Costa Rica,8,3,4,,15
Cote d'Ivoire (Ivory Coast),,1,1,,2
Croatia,3,2,,,5
Cyprus,1,,,,1
Czech Republic,2,1,,,3
Denmark,1,,1,,2
Dominica,,,1,,1
Dominican Republic,2,1,1,,4
Ecuador,12,10,3,,25
Egypt (A.R.E.),1,4,24,,29
El Salvador,4,1,,,5
Eritrea,,,2,,2
Ethiopia,1,1,,,2
Finland,,1,,,1
France,14,13,8,,35
Georgia (C.I.S.),,1,3,,4
Germany,7,16,2,,25
Ghana,2,4,4,,10
