"Spring 2003
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL
CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special         CLMD
Populations     COFD MARS SABX SRPH
Subtotal
University                Total",Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,"1st Time in College
2
1
3
2
8
1
1
2
6
6
16
16
64","1st Time PB
1
1
9","1st Time Transfer
10
28
31
9
26
17
3
2
32
7
39
8
212
35
4
9
48
12
12
42
42
865","Readmitted
2
9
4
8
8
8
5
2
2
10
3
11
3
75
1
4
5
6
6
39
39
261","Continuing
121
345
751
633
571
484
496
86
98
896
78
1,337
256
6,152
1,149
178
283
72
1,682
1,646
1,646
2,989
2,989
1
27
28
32,839",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
,,,,,,1,2,1,64,1,1,41,2,486,231,
,,,,,,,,,1,,,,,,365,
,,,,,,1,,,12,,,27,,,823,
,,,,,,1,1,,31,,,56,,,763,
,,,,,,4,3,,43,,,60,,,700,
,,,,,,,,,27,,,42,,,587,
,,,,,,,1,,15,,,,,,534,
,,,,,,2,3,,11,,,,,,108,
,,,,,,,,,30,,,5,,,138,
,,,,,,1,,,12,,,45,,,999,
,,,,,,,,,,,,,,,88,
,,,,,,1,,,27,,,63,,,"1,478",
,,,,,,,2,,21,,,36,,,328,
,,,,,,11,12,1,294,,1,375,,,"7,142",
,,,,,,,,,27,,,53,,,"1,266",
,,,,,,,3,,94,,,123,,,403,
,,,,,,10,5,,75,2,,44,,,433,
,,,,,,,4,,32,4,,74,,,186,
,,,,,,4,1,,39,2,,49,,,95,
,,,,,,14,13,,267,9,,343,,,"2,383",
,,,,,,,,,,,,,,,"2,158",
,,,,,,1,,,14,,,21,,,36,
,,,,,,2,1,,4,,,,,,7,
,,,,,,,,1,4,,,,,,5,
,,,,,,,3,,20,,,30,,,53,
,,,,,,1,1,,12,,,26,,,40,
,,,,,,4,5,1,54,,,77,2,486,"2,299",
,,,,,,,,,,,,,,,"3,086",
,,,,,,,,,,,,,,,"3,086",
,,,,,,9,,,5,,,,,,14,
,,,,,,,2,,6,,,,,,8,
,,,,,,,,,11,,,,,,12,
,,,,,,8,,,1,,,,,,36,
,,,,,,20,,,11,,,,,,31,
,,,,,,37,2,,34,,,,,,101,
,,,,,,182,325,6,"3,990",127,9,"2,954",2,486,"42,119",
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,
