"Spring 2003
Agriculture               AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal
Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH  of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
1
1
2
2
2
1
1
1
2
2
2
1
8","Sophomore
1
2
1
1
5
3
3
4
4
1
1
1
4
1
8","Junior
4
2
1
1
1
1
3
2
1
1
3
20
1
1
2
2
3
2
1
3
4
15
3
2
5
1
1
4
2
7
2
3
1
3
1
25","Senior
3
8
6
1
2
1
1
2
1
1
4
30
8
4
12
4
5
4
3
4
20
8
6
14
3
3
5
7
5
6
4
5
4
3
45",PB,"Total
5
14
8
2
4
1
1
1
2
5
2
1
2
2
7
57
9
5
14
6
8
7
5
6
8
40
15
9
24
5
2
8
3
9
14
7
9
5
10
8
6
86",PB,Master,Total,Master,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,1,1,,1,1,,,5,
,,,,,,,,,,,,,,,14,
,,,,,,,,,,,,,,,10,
,,,,,,,,,,,1,1,,,3,
,,,,,,,,1,1,,1,1,,,6,
,,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,,2,
,,,,,,,,1,1,,,,,,2,
,,,,,,,,1,1,,,,,,3,
,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,1,1,,,4,
,,,,,,,,4,4,,,,,,11,
,,,,,,,,10,10,,4,4,,,71,
,,,,,,,,3,3,,1,1,,,13,
,,,,,,,,2,2,,,,,,2,
,,,,,,,,2,2,,,,,,7,
,,,,,,,,7,7,,1,1,,,22,
,,,,,,,,2,2,,,,,,8,
,,,,,,,,9,9,,,,,,17,
,,,,,,,,4,4,,,,,,11,
,,,,,,,,2,2,,,,,,7,
,,,,,,,,,,,1,1,,,7,
,,,,,,,,1,1,,,,,,9,
,,,,,,,,18,18,,1,1,,,59,
,,,,,,,,,2,,6,6,,,8,
,,,,,,,1,3,4,,,,,,4,
,,,,,,,,1,1,,1,1,,,17,
,,,,,,,,,,,1,1,,,10,
,,,,,,,3,4,7,,8,8,,,39,
,,,,,,,,,,,,,,,5,
,,,,,,,,1,1,,,,,,3,
,,,,,,,,1,1,,,,,,9,
,,,,,,,,,,,,,,,3,
,,,,,,,,3,3,,,,,,12,
,,,,,,,,1,1,,,,,,15,
,,,,,,,,,,,,,,,7,
,,,,,,,,1,1,,,,,,10,
,,,,,,,,3,3,,,,,,8,
,,,,,,,,,,,,,,,10,
,,,,,,,,,,,1,1,,,9,
,,,,,,,,,,,,,,,6,
,,,,,,,,10,10,,1,1,,,97,
,,,,,,,1,2,3,,,,,,3,
,,,,,,,1,2,3,,,,,,3,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,
