"Spring 2003
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education       CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
741
1289
1123
353
461
279
97
72
187
192
181
190
370
259
576
6370
810
656
233
1699
722
2030
687
438
401
745
5023
37
512
347
1519
2049
4464
503
319
567
242
1117
1207
1349
1048
485
1292
240
374
8743
125
125",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,239,383,1,4,9,19,1,2,1,1,19,57,4,1,274,467,,
,561,578,17,32,25,36,3,2,4,5,6,6,7,7,623,666,,
,650,319,5,5,67,20,6,3,5,,21,12,6,4,760,363,,
,39,255,6,2,8,12,,1,,,10,17,,3,63,290,,
,159,138,13,2,23,20,12,16,1,2,37,32,,6,245,216,,
,59,139,4,20,20,20,2,5,1,4,1,3,,1,87,192,,
,26,35,2,,6,6,3,3,,,7,7,1,1,45,52,,
,8,44,,,1,5,,,,1,1,10,2,,12,60,,
,92,63,,1,4,3,,,,,7,14,2,1,105,82,,
,72,46,5,6,15,13,3,4,,1,9,13,2,3,106,86,,
,53,91,1,1,8,8,1,1,,,8,7,,2,71,110,,
,45,113,,,2,6,2,1,1,1,6,12,1,,57,133,,
,153,162,,,5,19,,2,,4,15,8,1,1,174,196,,
,23,168,,3,2,3,1,,,1,18,36,,4,44,215,,
,199,288,6,,17,26,2,5,,1,10,11,4,7,238,338,,
,"2,378","2,822",60,76,212,216,36,45,13,21,175,245,30,41,"2,904","3,466",,
,260,305,3,7,28,32,14,14,1,3,51,79,6,7,363,447,,
,64,472,1,3,9,40,3,4,,2,16,40,,2,93,563,,
,69,78,2,1,10,6,1,1,,1,27,30,4,3,113,120,,
,393,855,6,11,47,78,18,19,1,6,94,149,10,12,569,"1,130",,
,347,266,10,,26,10,17,7,1,1,20,9,4,4,425,297,,
,923,796,32,19,67,54,25,32,1,3,14,47,5,12,"1,067",963,,
,216,368,5,1,14,17,10,13,,3,14,15,2,9,261,426,,
,115,200,9,4,11,13,13,14,1,,26,25,3,4,178,260,,
,155,166,5,3,17,14,7,5,1,2,8,11,4,3,197,204,,
,444,201,9,2,31,13,8,5,4,1,8,10,4,5,508,237,,
,"2,200","1,997",70,29,166,121,80,76,8,10,90,117,22,37,"2,636","2,387",,
,17,13,,1,2,2,,2,,,,,,,19,18,,
,210,147,30,15,46,25,4,3,2,,16,6,4,4,312,200,,
,197,52,12,1,38,7,1,1,,1,28,5,4,,280,67,,
,783,520,28,15,64,49,10,9,6,2,5,11,5,12,901,618,,
,"1,718",82,51,12,111,14,13,2,17,,18,1,9,1,"1,937",112,,
,"2,925",814,121,44,261,97,28,17,25,3,67,23,22,17,"3,449","1,015",,
,67,294,4,2,12,31,3,11,,,5,69,1,4,92,411,,
,89,99,11,4,14,15,14,18,,2,16,34,2,1,146,173,,
,107,246,10,5,20,22,15,19,,,28,86,5,4,185,382,,
,32,102,12,3,24,40,3,10,,1,1,11,,3,72,170,,
,79,605,7,13,14,49,22,54,,1,74,187,2,10,198,919,,
,157,666,6,16,21,82,8,22,1,4,28,181,5,10,226,981,,
,58,675,15,23,12,88,22,94,,4,47,304,,7,154,"1,195",,
,127,682,14,22,27,88,7,46,,5,4,16,2,8,181,867,,
,59,96,13,5,11,25,8,8,,1,28,223,6,2,125,360,,
,121,746,2,8,8,63,6,28,,4,13,283,,10,150,"1,142",,
,41,108,2,2,6,15,5,8,,1,12,31,1,8,67,173,,
,37,151,2,,8,20,,7,,2,20,121,2,4,69,305,,
,974,"4,470",98,103,177,538,113,325,1,25,276,"1,546",26,71,"1,665","7,078",,
,47,46,,3,8,8,1,2,,2,2,3,2,1,60,65,,
,47,46,,3,8,8,1,2,,2,2,3,2,1,60,65,,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,,,
