"Spring 2003
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special         CLMD Populations              COFD
MARS SABX SRPH
Subtotal
University                Total",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
3
1
1
1
1
7
2
2
10
10
24","Sophomore
1
2
1
2
1
7
2
2
3
3
11
11
46","Junior
1
3
1
3
1
1
10
1
1
2
2
2
1
1
51","Senior
1
1
1
1
1
1
4
8
3
3
50","PB
1","Total
1
1
1
2
6
2
4
5
1
3
1
7
32
5
1
6
8
8
22
22
172",PB,Master,Total,Master,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,,1,1,2,2,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,1,1,,,2,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,1,1,,,7,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,,8,
,,,,,,,,2,2,,1,1,,,35,
,,,,,,,,,,,1,1,,,6,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,2,2,,,8,
,,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,2,2,10,
,,,,,,,,,,,,,,,22,
,,,,,,,,,,,,,,,22,
,,,,,,,,8,9,,9,9,2,2,192,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,
