Top 10,,,,,,,,,
Spring 2003  Feeder Patterns First Time In College,,,,,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,,9,,14.1%,,,,
Bexar,,,6,,9.4%,,,,
Tarrant,,,5,,7.8%,,,,
Galveston,,,3,,4.7%,,,,
Collin,,,2,,3.1%,,,,
Brazoria,,,2,,3.1%,,,,
Denton,,,2,,3.1%,,,,
Falls,,,2,,3.1%,,,,
Montgomery,,,2,,3.1%,,,,
Dallas,,,1,,1.6%,,,,
State,Students  % Total,,,,,,,,
Texas,50,,,78.1%,,,,,
New York,1,,,1.6%,,,,,
Kentucky,1,,,1.6%,,,,,
Arizona,1,,,1.6%,,,,,
Country,,Students  % Total,,,,,,,
United States,,53,,,,82.8%,,,
Australia,,2,,,,3.1%,,,
Venezuela,,1,,,,1.6%,,,
Turkey,,1,,,,1.6%,,,
Tunisia,,1,,,,0.0%,,,
Singapore,,1,,,,0.0%,,,
Malaysia,,1,,,,0.0%,,,
Iran,,1,,,,0.0%,,,
Indonesia,,1,,,,0.0%,,,
Hong Kong,,1,,,,0.0%,,,
