"Spring 2003
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special         CLMD Populations              COFD
MARS SABX SRPH
Subtotal
University                Total",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
1
1
1
3
1
1
2
1
1
9
9
27
27
97","Sophomore
1
1
2
4
2
2
2
2
8
8
79","Junior
1
1
1
5
1
1
2
1
11
2
1
3
4
4
123","Senior
1
1
1
7
1
3
14
1
1
2
2
182","PB
4","Total
1
1
1
4
1
14
1
2
1
7
1
32
5
2
1
8
9
9
17
17
27
27
485",PB,Master,Total,Master,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,6,8,1,12,12,,,20,
,,,,,,,1,7,8,,8,8,,,17,
,,,,,,,1,15,16,,22,22,,,38,
,,,,,,,,9,9,,17,17,,,26,
,,,,,,,4,37,41,,59,59,,,101,
,,,,,,,,6,6,,4,4,,,11,
,,,,,,,,1,1,,,,,,5,
,,,,,,,,1,1,,3,3,,,5,
,,,,,,,1,21,22,,44,44,,,80,
,,,,,,,2,10,12,,14,14,,,26,
,,,,,,,,,,,,,,,1,
,,,,,,,,5,5,,,,,,7,
,,,,,,,,2,2,,,,,,2,
,,,,,,,,2,2,,1,1,,,3,
,,,,,,,1,,1,,13,13,,,15,
,,,,,,,,1,1,,5,5,,,13,
,,,,,,,,6,6,,13,13,,,20,
,,,,,,,4,55,59,,97,97,,,188,
,,,,,,,,7,7,,18,18,,,30,
,,,,,,,,35,35,,59,59,,,94,
,,,,,,,,21,21,,37,37,,,60,
,,,,,,,,26,26,,63,63,,,90,
,,,,,,,1,28,29,,37,38,,,67,
,,,,,,,1,117,118,1,214,215,,,341,
,,,,,,,,,,,,,,,9,
,,,,,,,,3,3,,9,9,,,12,
,,,,,,,,7,7,,5,5,,,12,
,,,,,,,,1,1,,13,13,,,14,
,,,,,,,,11,11,,27,27,,,47,
,,,,,,,,,,,,,,,17,
,,,,,,,,,,,,,,,17,
,,,,,,,7,,7,,,,,,7,
,,,,,,,,2,2,,,,,,2,
,,,,,,,9,,9,,,,,,36,
,,,,,,,3,,3,,,,,,3,
,,,,,,,19,2,21,,,,,,48,
,,,,,,,62,"1,531","1,593",5,"1,446","1,451",,,"3,529",
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,
