"Spring 2003
Agriculture               AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal
Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH  of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
2
2
4
2
10
2
2
20
20
4
5
9
3
7
2
9
4
2
2
2
31","Sophomore
1
5
5
1
1
7
1
2
3
26
2
1
3
18
18
1
12
6
19
1
2
8
2
3
2
4
3
5
30","Junior
1
7
2
2
3
8
3
2
28
2
2
7
5
3
4
2
4
25
2
2
4
3
1
2
8
11
5
2
2
1
2
37","Senior
2
29
1
3
6
7
1
1
6
2
1
1
60
3
2
5
2
2
8
3
6
21
1
22
12
35
1
3
2
6
10
20
28
10
2
82","PB
1
1","Total
4
43
10
6
14
24
2
1
11
2
1
6
124
9
3
12
9
43
5
12
5
10
84
1
1
40
25
67
5
15
13
11
15
20
37
36
14
10
3
2
181",PB,Master,Total,Master,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,1,1,1,1,1,,,5,
,,,,,,,,3,5,,,,,,49,
,,,,,,,,,,,,,,,10,
,,,,,,,,2,2,,,,,,8,
,,,,,,,,,,,1,1,,,15,
,,,,,,,,,,,,,,,24,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,11,
,,,,,,,,,,,,,,,2,
,,,,,,,1,1,2,,,,,,3,
,,,,,,,,,,,,,,,6,
,,,,,,,3,7,10,,2,2,,,136,
,,,,,,,1,,1,,,,,,10,
,,,,,,,,1,1,,,,,,4,
,,,,,,,,2,2,,1,1,,,3,
,,,,,,,1,3,4,,1,1,,,17,
,,,,,,,,,,,1,1,,,10,
,,,,,,,,8,8,,,,,,51,
,,,,,,,,1,1,,,,,,6,
,,,,,,,,1,1,,,,,,13,
,,,,,,,,1,1,,2,2,,,8,
,,,,,,,,1,1,,,,,,11,
,,,,,,,,12,12,,3,3,,,99,
,,,,,,,,,,,,,,,1,
,,,,,,,1,7,8,,35,36,,,45,
,,,,,,,3,3,6,,7,7,,,13,
,,,,,,,,1,1,,2,2,,,43,
,,,,,,,4,5,9,,29,29,,,63,
,,,,,,,8,16,24,1,73,74,,,165,
,,,,,,,,1,1,,,,,,6,
,,,,,,,,,,,,,,,15,
,,,,,,,,2,2,,,,,,15,
,,,,,,,,1,1,,3,3,,,15,
,,,,,,,1,3,4,,1,1,,,20,
,,,,,,,,,,,2,2,,,22,
,,,,,,,,,,,1,1,,,38,
,,,,,,,,,,,,,,,36,
,,,,,,,,2,2,,2,2,,,18,
,,,,,,,,,,,,,,,10,
,,,,,,,,1,1,,,,,,4,
,,,,,,,,,,,,,,,2,
,,,,,,,1,10,11,,9,9,,,201,
,,,,,,,1,2,3,,,,,,3,
,,,,,,,1,2,3,,,,,,3,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,
