Top 10,,,,,,,,
Spring 2003  Feeder Patterns New Graduate,,,,,,,,
Texas County   Students  % Total,,,,,,,,
Harris,,52,,,11.5%,,,
Brazos,,46,,,10.2%,,,
Bexar,,11,,,2.4%,,,
Fort Bend,,8,,,1.8%,,,
Williamson,,8,,,1.8%,,,
Travis,,6,,,1.3%,,,
Dallas,,5,,,1.1%,,,
Montgomery,,5,,,1.1%,,,
Tarrant,,5,,,1.1%,,,
Bell,,4,,,0.9%,,,
State,Students  % Total,,,,,,,
Texas,236,,,52.2%,,,,
New York,5,,,1.1%,,,,
California,3,,,0.7%,,,,
Louisiana,2,,,0.4%,,,,
Nebraska,2,,,0.4%,,,,
Ohio,2,,,0.4%,,,,
Virginia,2,,,0.4%,,,,
Montana,1,,,0.2%,,,,
Mississippi,1,,,0.2%,,,,
Maryland,1,,,0.2%,,,,
Country,,,Students  % Total,,,,,
United States,,,262,,,58.0%,,
India,,,50,,,11.1%,,
"China, People's Rep of",,,34,,,7.5%,,
"Korea, Republic of",,,15,,,3.3%,,
Mexico,,,9,,,2.0%,,
Bangladesh,,,5,,,1.1%,,
Jordan,,,5,,,1.1%,,
Nigeria,,,5,,,1.1%,,
Venezuela,,,5,,,1.1%,,
Indonesia,,,4,,,0.9%,,
