Spring 2003,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Architecture,ARCH,29,39,1,1,2,4,2,4,1,2,44,69,1,2,76,119,195,
,COMG,5,15,,1,,1,,,,,16,39,,2,21,58,79,
,COSC,28,239,,1,5,20,,1,,,,,,,35,261,296,
,COSL,31,218,,1,4,19,1,3,,,,1,,,37,244,281,
,ENDL,106,109,3,4,14,15,5,3,,,,,2,,131,131,262,
,ENDS,116,127,,2,10,9,7,6,,2,,3,3,4,136,153,289,
,LAND,34,33,,,2,,1,1,,,14,2,2,2,53,38,91,
,LANL,28,22,,,4,5,,,,1,1,,1,1,34,29,63,
,LDEV,,6,,1,,,,,,,2,5,1,,3,12,15,
,URPL,5,5,1,,3,,,,,,5,7,,,14,12,26,
,URSC,2,12,1,,1,1,,,,,5,16,,,9,29,38,
,VIZA,9,30,,,2,4,2,1,,1,7,7,,1,20,44,64,
,Subtotal,393,855,6,11,47,78,18,19,1,6,94,149,10,12,569,"1,130",1699,
Business,ACCT,347,266,10,,26,10,17,7,1,1,20,9,4,4,425,297,722,
Admin,AGBU,3,2,,,,,,,,,,,,,3,2,5,
,BUAD,917,789,32,19,67,54,25,32,1,3,14,47,5,12,"1,061",956,2017,
,BUAG,3,5,,,,,,,,,,,,,3,5,8,
,FINC,209,334,5,1,14,17,10,12,,3,14,15,2,9,254,391,645,
,INFO,97,173,9,3,10,12,13,12,1,,8,10,3,2,141,212,353,
,MGMT,155,166,5,3,17,14,7,5,1,2,8,11,4,3,197,204,401,
,MISY,18,27,,1,1,1,,2,,,18,15,,2,37,48,85,
,MKTG,444,201,9,2,31,13,8,5,4,1,8,10,4,5,508,237,745,
,MLER,7,34,,,,,,1,,,,,,,7,35,42,
,Subtotal,"2,200","1,997",70,29,166,121,80,76,8,10,90,117,22,37,"2,636","2,387",5023,
Education,CPSY,21,19,2,,3,1,,,,,1,,,,27,20,47,
,EDAD,142,97,23,11,27,13,2,,2,,6,,3,3,205,124,329,
,EDCI,130,24,31,7,13,4,5,1,1,,15,1,1,,196,37,233,
,EDHL,135,16,2,,9,1,1,1,1,,,,2,1,150,19,169,
,EDIS,782,28,15,3,56,4,5,1,7,,3,,2,,870,36,906,
,EDIT,4,2,1,,1,1,,,,,,,,,6,3,9,
,EDKI,347,348,8,10,29,30,4,6,1,2,1,2,1,7,391,405,796,
,EDTC,18,9,,,1,1,,,,,6,,1,,26,10,36,
,EHRD,64,48,6,4,18,11,2,3,,,10,6,1,1,101,73,174,
,EPSY,133,22,6,1,29,1,1,1,,1,20,3,3,,192,29,221,
,HEED,17,6,2,1,,,,,,,1,,1,,21,7,28,
,HLTH,101,8,9,,16,1,4,,,,,,,,130,9,139,
,INST,786,26,5,2,41,4,3,,9,,,,6,1,850,33,883,
,ISNC,17,13,,1,2,2,,2,,,,,,,19,18,37,
,KINE,180,138,7,4,9,16,1,1,3,,3,8,,4,203,171,374,
,PHED,3,4,,,1,1,,1,1,,,1,1,,6,7,13,
,SPSY,25,2,4,,5,4,,,,,1,2,,,35,8,43,
,TECR,20,4,,,1,2,,,,,,,,,21,6,27,
,Subtotal,"2,925",814,121,44,261,97,28,17,25,3,67,23,22,17,"3,449","1,015",4464,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,,,,
