"Spring 2003
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
MARS SABX SRPH
Subtotal
Grand Total",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
195
7
204
210
68
684
231
365
823
763
700
587
534
108
138
999
88
1478
328
7142
1266
403
433
186
95
2383
2158
36
7
5
53
40
2299
3086
3086
14
8
12
36
31
101
42119",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,69,91,1,1,2,8,1,,,,6,14,1,1,80,115,,
,4,1,,,1,,1,,,,,,,,6,1,,
,66,93,3,2,6,14,,,,1,6,11,2,,83,121,,
,60,91,,,7,4,3,1,,1,11,27,3,2,84,126,,
,17,23,,,1,,,1,,,12,14,,,30,38,,
,216,299,4,3,17,26,5,2,,2,35,66,6,3,283,401,,
,97,81,,1,15,12,4,4,,1,7,4,2,3,125,106,,
,174,99,7,1,39,19,9,5,1,1,3,2,2,3,235,130,,
,523,182,7,3,47,25,9,4,6,1,3,2,5,6,600,223,,
,139,423,4,3,25,43,15,19,1,1,25,55,2,8,211,552,,
,436,143,13,7,34,17,8,,4,,16,10,9,3,520,180,,
,162,332,5,4,17,40,3,1,3,3,,1,4,12,194,393,,
,355,109,12,1,29,12,2,2,1,,6,1,4,,409,125,,
,42,26,,,21,15,,1,,,2,,,1,65,43,,
,26,86,,1,2,10,2,1,,,1,2,2,5,33,105,,
,326,496,18,9,41,61,10,9,1,2,4,11,3,8,403,596,,
,44,25,3,1,5,8,,,1,,,,1,,54,34,,
,886,316,42,7,108,37,34,10,7,1,7,6,11,6,"1,095",383,,
,183,65,11,3,21,12,3,6,,,12,8,4,,234,94,,
,"3,393","2,383",122,41,404,311,99,62,25,10,86,102,49,55,"4,178","2,964",,
,595,309,29,11,102,79,64,29,4,2,13,17,4,8,811,455,,
,106,131,10,3,13,25,8,8,,1,31,63,3,1,171,232,,
,187,138,3,3,8,10,8,6,,1,17,43,6,3,229,204,,
,18,64,,3,,8,,2,,,11,79,,1,29,157,,
,11,14,,,,,3,,,,33,34,,,47,48,,
,917,656,42,20,123,122,83,45,4,4,105,236,13,13,"1,287","1,096",,
,"1,205",560,28,5,139,63,74,35,6,4,7,2,19,11,"1,478",680,,
,15,6,,,1,,1,,,,4,8,,1,21,15,,
,5,2,,,,,,,,,,,,,5,2,,
,3,1,,,,,1,,,,,,,,4,1,,
,17,18,,1,2,1,1,,,,4,8,,1,24,29,,
,9,10,1,,1,1,3,,,,8,6,1,,23,17,,
,"1,254",597,29,6,143,65,80,35,6,4,23,24,20,13,"1,555",744,,
,"1,136","1,367",45,69,130,192,31,53,10,12,11,6,8,16,"1,371","1,715",,
,"1,136","1,367",45,69,130,192,31,53,10,12,11,6,8,16,"1,371","1,715",,
,2,3,,1,1,,,,,,2,5,,,5,9,,
,3,2,,,,1,,,,,2,,,,5,3,,
,6,4,,,1,,,1,,,,,,,7,5,,
,,,,,,,,,,,14,22,,,14,22,,
,11,2,1,,4,4,3,,,,2,1,3,,24,7,,
,22,11,1,1,6,5,3,1,,,20,28,3,,55,46,,
,"15,855","16,317",598,406,"1,694","1,779",577,682,93,99,984,"2,545",211,279,"20,012","22,107",,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,,,
