Spring 2003,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Other - Special,CLMD,5,100.0%,1,0.0%,1,100.0%,0,-100.0%,,,7,40.0%,3,50.0%,14,133.3%,
Populations,COFD,5,-28.6%,0,-100.0%,1,100.0%,,,,,2,0.0%,,,8,-33.3%,
,INEN,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,MARS,10,100.0%,,,1,100.0%,1,100.0%,,,,,,,12,100.0%,
,PETE,,,,,,,,,,,0,-100.0%,,,0,-100.0%,
,SABX,,,,,,,,,,,36,16.1%,,,36,16.1%,
,SRPH,13,-13.3%,1,-75.0%,8,60.0%,3,200.0%,,,3,200.0%,,,31,10.7%,
,Subtotal,33,43.5%,2,-66.7%,11,120.0%,4,33.3%,,,48,20.0%,3,50.0%,101,27.8%,
Total,,"32,172",0.1%,"1,004",-0.1%,"3,473",2.8%,"1,259",-2.2%,192,-2.0%,"3,529",6.6%,490,-13.7%,"42,119",0.6%,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,,,
