"Spring 2003
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special         CLMD Populations              COFD
MARS SABX SRPH
Subtotal
University                Total",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
1
1
1
1
1
1
4
2
1
3
2
2
9
9
32","Sophomore
1
1
2
2
2
2
10
3
1
4
3
3
12
12
49","Junior
2
2
1
2
5
5
6
3
2
1
4
1
6
1
37
2
1
3
6
6
3
3
118","Senior
2
2
2
3
3
1
6
1
1
3
4
6
3
33
4
6
10
11
11
177",PB,"Total
2
3
5
1
5
10
9
9
11
4
1
4
10
1
15
4
84
11
2
7
20
22
22
24
24
376",PB,Master,Total,Master,PhD,Total,Professional Veterinary,Total,,
,,,,,,,3,2,2,,2,2,8,8,2,
,,,,,,,,,,,,,,,2,
,,,,,,,,2,2,,,,,,5,
,,,,,,,,4,4,,,,,,9,
,,,,,,,,2,2,,,,,,5,
,,,,,,,,,,,,,,,5,
,,,,,,,,1,1,,,,,,11,
,,,,,,,,,,,1,1,,,10,
,,,,,,,,2,2,,1,1,,,12,
,,,,,,,,2,2,,3,3,,,16,
,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,1,
,,,,,,,,2,2,,1,1,,,7,
,,,,,,,,1,1,,,,,,11,
,,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,1,1,,,17,
,,,,,,,,,,,,,,,4,
,,,,,,,,11,11,,9,9,,,104,
,,,,,,,,1,1,,,,,,12,
,,,,,,,,1,1,,1,1,,,4,
,,,,,,,,2,2,,,,,,9,
,,,,,,,,1,1,,,,,,1,
,,,,,,,,5,5,,1,1,,,26,
,,,,,,,,,,,,,,,30,
,,,,,,,,1,1,,,,,,1,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,,2,2,8,8,33,
,,,,,,,,,,,,,,,24,
,,,,,,,,,,,,,,,24,
,,,,,,,,,3,,,,,,3,
,,,,,,,3,,3,,,,,,3,
,,,,,,,7,72,79,,27,27,8,8,490,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,
