"Spring 2003
Agriculture               AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal
Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH  of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
2
2
1
2
3","Sophomore
1
1
2
2
3
1
10
1
1
1
1
2
2
1
3
2
1
2
9","Junior
3
2
2
1
1
1
1
11
2
1
3
3
1
2
2
8
2
6
8
1
1
1
1
1
1
6","Senior
1
5
1
1
1
1
3
13
2
2
1
3
4
4
6
10
1
2
1
4
1
9","PB
1
1","Total
2
9
5
3
5
1
1
2
4
1
1
34
3
2
1
6
3
3
1
3
5
15
7
16
23
2
1
1
5
4
5
1
3
1
2
25",PB,Master,Total,Master,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,,1,1,,,2,
,,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,34,
,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,,7,
,,,,,,,,1,1,,,,,,2,
,,,,,,,,1,1,,,,,,4,
,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,5,
,,,,,,,,2,2,,1,1,,,18,
,,,,,,,,,,,2,2,,,2,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,,,,,,8,
,,,,,,,,1,1,,,,,,17,
,,,,,,,,2,2,,3,3,,,28,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,1,1,,,4,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,1,1,,,26,
,,,,,,,,1,2,,,,,,2,
,,,,,,,1,1,2,,,,,,2,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,
