"Spring 2003
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education       CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering            AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,188,11.2%,15,50.0%,29,26.1%,32,14.3%,,2,100.0%,50,11.1%,,3,0.0%,319,14.3%,
,353,-4.9%,15,15.4%,42,-8.7%,34,-15.0%,,,,114,6.5%,,9,-18.2%,567,-3.6%,
,134,26.4%,15,-21.1%,64,0.0%,13,44.4%,,1,0.0%,12,20.0%,,3,50.0%,242,14.7%,
,684,-13.7%,20,-9.1%,63,-13.7%,76,-29.6%,,1,-50.0%,261,3.2%,,12,-20.0%,"1,117",-11.8%,
,823,13.8%,22,4.8%,103,-4.6%,30,20.0%,,5,150.0%,209,8.9%,,15,7.1%,"1,207",11.2%,
,733,-3.0%,38,-2.6%,100,1.0%,116,-15.9%,,4,-42.9%,351,12.5%,,7,-46.2%,"1,349",-1.1%,
,809,-14.2%,36,-26.5%,115,-14.2%,53,3.9%,,5,-28.6%,20,11.1%,,10,-23.1%,"1,048",-13.7%,
,155,-15.8%,18,5.9%,36,0.0%,16,-23.8%,,1,-50.0%,251,9.6%,,8,0.0%,485,-2.4%,
,867,1.6%,10,-23.1%,71,-2.7%,34,9.7%,,4,300.0%,296,11.7%,,10,-28.6%,"1,292",3.4%,
,149,16.4%,4,-20.0%,21,5.0%,13,85.7%,,1,0.0%,43,2.4%,,9,80.0%,240,15.4%,
,188,7.4%,2,-33.3%,28,33.3%,7,16.7%,,2,100.0%,141,3.7%,,6,20.0%,374,8.1%,
,"5,444",-2.3%,201,-7.4%,715,-4.2%,438,-7.8%,,26,-7.1%,"1,822",7.9%,,97,-14.2%,"8,743",-1.1%,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,,,,
