"Spring 2003
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special         CLMD Populations              COFD
MARS SABX SRPH
Subtotal
University                Total",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
34
3
6
11
54
4
27
68
24
50
41
35
4
7
104
9
158
20
551
209
32
32
16
289
312
312
1,356
1,356
4,980","Sophomore
24
1
19
15
59
12
60
140
67
81
77
67
14
15
175
21
266
40
1,035
167
31
53
16
267
316
316
1,007
1,007
6,096","Junior
26
42
33
101
30
86
240
215
167
152
131
13
29
259
21
365
85
1,793
219
41
72
15
347
329
329
139
139
1
1
7,604","Senior
39
71
42
152
49
100
227
238
210
167
221
27
35
244
18
353
72
1,961
259
39
98
17
413
365
365
1
1
9,292","PB
1
3
4
1
1
2
2
3
3
73","Total
124
4
138
104
370
95
273
675
544
508
437
454
59
86
782
69
1,142
217
5,341
856
143
255
64
1,318
1,325
1,325
2,503
2,503
1
1
28,045",PB,Master,Total,Master,PhD,Total,Professional Veterinary,Total,,
,,,,,,,6,23,29,,7,7,440,440,160,
,,,,,,,,1,1,,,,,,5,
,,,,,,,2,7,9,,12,12,,,159,
,,,,,,,,33,33,,14,14,,,151,
,,,,,,,,29,29,,11,11,,,40,
,,,,,,,8,93,101,,44,44,,,515,
,,,,,,,2,49,51,,32,32,,,178,
,,,,,,,,,,,,,,,273,
,,,,,,,3,8,11,,19,19,,,705,
,,,,,,,1,7,8,,10,10,,,562,
,,,,,,,4,25,29,,42,42,,,579,
,,,,,,,5,16,21,,36,36,,,494,
,,,,,,,1,9,10,,,,,,464,
,,,,,,,3,6,9,,,,,,68,
,,,,,,,,23,23,,3,3,,,112,
,,,,,,,2,7,9,,31,31,,,822,
,,,,,,,,,,,,,,,69,
,,,,,,,1,15,16,,44,44,,,"1,202",
,,,,,,,,12,12,,19,19,,,248,
,,,,,,,22,177,199,,236,236,,,"5,776",
,,,,,,,,17,17,,31,31,,,904,
,,,,,,,,43,43,,51,51,,,237,
,,,,,,,22,40,62,,8,8,,,325,
,,,,,,,,5,5,,13,13,,,82,
,,,,,,,4,10,14,,11,11,,,25,
,,,,,,,26,115,141,,114,114,,,"1,573",
,,,,,,,,,,,,,,,"1,765",
,,,,,,,1,8,9,,12,12,,,21,
,,,,,,,2,5,7,,,,,,7,
,,,,,,,,4,4,,,,,,4,
,,,,,,,1,12,13,,22,22,,,35,
,,,,,,,1,9,10,,9,9,,,19,
,,,,,,,5,38,43,,43,43,440,440,"1,851",
,,,,,,,,,,,,,,,"2,503",
,,,,,,,,,,,,,,,"2,503",
,,,,,,,5,,5,,,,,,5,
,,,,,,,,5,5,,,,,,5,
,,,,,,,3,6,9,,,,,,10,
,,,,,,,13,,13,,,,,,13,
,,,,,,,21,11,32,,,,,,33,
,,,,,,,246,"2,140","2,386",,"1,301","1,301",440,440,"32,172",
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,
