"Spring 2003
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special         CLMD Populations              COFD
MARS SABX SRPH
Subtotal
University                Total",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
1
1
1
2
2
1
1
1
6
14
22
3
25
16
16
38
38
169","Sophomore
1
5
4
2
1
5
2
1
21
21
1
2
24
24
24
36
36
213","Junior
1
1
2
3
1
15
3
2
1
5
13
45
18
4
2
24
23
23
10
10
290","Senior
1
1
2
5
7
13
3
4
1
7
17
6
65
30
1
6
1
38
33
33
406","PB
4","Total
1
1
1
3
5
14
12
32
8
4
4
1
2
18
38
7
145
91
6
13
1
111
96
96
84
84
1,082",PB,Master,Total,Master,PhD,Total,Professional Veterinary,Total,,
,,,,,,,3,2,2,,1,1,13,13,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,4,
,,,,,,,,1,1,,,,,,1,
,,,,,,,,3,3,,1,1,,,7,
,,,,,,,,3,3,,,,,,8,
,,,,,,,,,,,,,,,14,
,,,,,,,,,,,1,1,,,13,
,,,,,,,,2,2,,,,,,34,
,,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,,3,
,,,,,,,,1,1,,,,,,19,
,,,,,,,,3,3,,3,3,,,44,
,,,,,,,,,,,2,2,,,9,
,,,,,,,,10,10,,6,6,,,161,
,,,,,,,,,,,2,2,,,93,
,,,,,,,,5,5,,5,5,,,16,
,,,,,,,,1,1,,,,,,14,
,,,,,,,,1,1,,,,,,2,
,,,,,,,,1,1,,2,2,,,3,
,,,,,,,,8,8,,9,9,,,128,
,,,,,,,,,,,,,,,109,
,,,,,,,,1,1,,,,,,1,
,,,,,,,,1,1,,,,,,1,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,,2,2,,,3,
,,,,,,,,3,3,,3,3,13,13,115,
,,,,,,,,,,,,,,,84,
,,,,,,,,,,,,,,,84,
,,,,,,,,1,1,,,,,,1,
,,,,,,,,,3,,,,,,3,
,,,,,,,3,1,4,,,,,,4,
,,,,,,,12,96,108,,56,56,13,13,"1,259",
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,
