Spring 2003,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Architecture,ARCH,68,13.3%,1,0.0%,6,20.0%,4,0.0%,0,-100.0%,113,3.7%,3,50.0%,195,7.7%,
,COMG,20,42.9%,1,0.0%,1,-66.7%,,,,,55,22.2%,2,100.0%,79,25.4%,
,COSC,267,3.9%,1,-50.0%,25,66.7%,3,0.0%,,,,,0,-100.0%,296,4.6%,
,COSL,249,7.8%,2,100.0%,23,-28.1%,4,300.0%,2,100.0%,1,0.0%,0,-100.0%,281,4.9%,
,ENDL,215,-13.3%,7,16.7%,29,20.8%,8,-20.0%,1,-50.0%,0,-100.0%,2,-60.0%,262,-11.5%,
,ENDS,243,-11.3%,2,-66.7%,19,-36.7%,13,-7.1%,2,-33.3%,3,-50.0%,7,-36.4%,289,-16.0%,
,LAND,67,-8.2%,,,2,100.0%,2,0.0%,,,16,77.8%,4,0.0%,91,2.2%,
,LANL,50,-19.4%,,,9,125.0%,0,-100.0%,1,0.0%,1,-50.0%,2,0.0%,63,-12.5%,
,LDEV,6,-64.7%,1,100.0%,,,0,-100.0%,,,7,133.3%,1,100.0%,15,-28.6%,
,URPL,10,900.0%,1,0.0%,3,100.0%,,,,,12,9.1%,,,26,100.0%,
,URSC,14,-33.3%,1,-50.0%,2,0.0%,0,-100.0%,,,21,0.0%,,,38,-19.1%,
,VIZA,39,5.4%,,,6,0.0%,3,-25.0%,1,0.0%,14,16.7%,1,0.0%,64,4.9%,
,Subtotal,"1,248",-3.6%,17,-15.0%,125,2.5%,37,-9.8%,7,-30.0%,243,10.5%,22,-26.7%,"1,699",-2.2%,
Business,ACCT,613,4.4%,10,0.0%,36,2.9%,24,71.4%,2,0.0%,29,45.0%,8,-20.0%,722,6.5%,
Admin,AGBU,5,-44.4%,,,,,,,,,,,,,5,-44.4%,
,BUAD,"1,706",-0.2%,51,-8.9%,121,-11.0%,57,-21.9%,4,-60.0%,61,-12.9%,17,-43.3%,"2,017",-3.2%,
,BUAG,8,100.0%,,,,,,,,,,,,,8,100.0%,
,FINC,543,-4.4%,6,50.0%,31,-26.2%,22,29.4%,3,100.0%,29,-25.6%,11,0.0%,645,-5.3%,
,INFO,270,-35.9%,12,-14.3%,22,-31.3%,25,-16.7%,1,100.0%,18,-5.3%,5,-37.5%,353,-32.6%,
,MGMT,321,0.3%,8,14.3%,31,14.8%,12,33.3%,3,0.0%,19,-32.1%,7,0.0%,401,0.0%,
,MISY,45,-8.2%,1,0.0%,2,-33.3%,2,-60.0%,,,33,10.0%,2,-33.3%,85,-6.6%,
,MKTG,645,-10.0%,11,-8.3%,44,-18.5%,13,18.2%,5,66.7%,18,0.0%,9,-18.2%,745,-9.8%,
,MLER,41,51.9%,,,0,-100.0%,1,100.0%,,,,,,,42,50.0%,
,Subtotal,"4,197",-4.8%,99,-4.8%,287,-13.0%,156,-1.9%,18,0.0%,207,-7.6%,59,-26.3%,"5,023",-5.6%,
Education,CPSY,40,17.6%,2,100.0%,4,0.0%,,,,,1,0.0%,,,47,20.5%,
,EDAD,239,4.8%,34,41.7%,40,11.1%,2,0.0%,2,0.0%,6,-25.0%,6,100.0%,329,8.6%,
,EDCI,154,25.2%,38,-11.6%,17,-32.0%,6,50.0%,1,100.0%,16,0.0%,1,0.0%,233,9.9%,
,EDHL,151,0.0%,2,-81.8%,10,-50.0%,2,-50.0%,1,-50.0%,,,3,50.0%,169,-11.1%,
,EDIS,810,-8.9%,18,200.0%,60,46.3%,6,-14.3%,7,16.7%,3,200.0%,2,-75.0%,906,-5.4%,
,EDIT,6,50.0%,1,100.0%,2,100.0%,,,,,,,,,9,125.0%,
,EDKI,695,8.6%,18,28.6%,59,11.3%,10,66.7%,3,50.0%,3,200.0%,8,0.0%,796,9.9%,
,EDTC,27,-12.9%,,,2,100.0%,,,,,6,-14.3%,1,0.0%,36,-7.7%,
,EHRD,112,-8.2%,10,11.1%,29,7.4%,5,100.0%,0,-100.0%,16,0.0%,2,0.0%,174,-1.7%,
,EPSY,155,0.0%,7,0.0%,30,-18.9%,2,100.0%,1,-50.0%,23,64.3%,3,0.0%,221,0.9%,
,HEED,23,27.8%,3,200.0%,,,,,,,1,100.0%,1,0.0%,28,40.0%,
,HLTH,109,-14.2%,9,350.0%,17,-10.5%,4,100.0%,,,,,0,-100.0%,139,-6.7%,
,IDTC,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,INST,812,29.9%,7,-22.2%,45,-10.0%,3,0.0%,9,28.6%,0,-100.0%,7,-22.2%,883,25.4%,
,ISNC,30,100.0%,1,100.0%,4,100.0%,2,100.0%,,,,,,,37,100.0%,
,KINE,318,12.4%,11,57.1%,25,19.0%,2,-33.3%,3,50.0%,11,22.2%,4,0.0%,374,13.7%,
,PHED,7,-36.4%,,,2,0.0%,1,0.0%,1,100.0%,1,100.0%,1,100.0%,13,-7.1%,
,SPSY,27,0.0%,4,-20.0%,9,-40.0%,,,,,3,0.0%,0,-100.0%,43,-15.7%,
,TECR,24,9.1%,,,3,-25.0%,,,,,,,,,27,3.8%,
,Subtotal,"3,739",7.1%,165,19.6%,358,1.1%,45,45.2%,28,16.7%,90,16.9%,39,-11.4%,"4,464",7.3%,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,,,
