Summer 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Agriculture         ABME,,,,,,,,,,,,
ADEV,,,,,,,,,,,,
AGBL,,1,1,,2,,,,,,,2
AGBU,,,3,5,8,1,1,,,,,9
AGCJ,,,6,8,14,,,,,,,14
AGEC,,,3,6,9,1,1,,,,,10
AGED,,,,,,,,,,,,
AGLS,,1,1,,2,,,,,,,2
AGRO,,,,1,1,,,,,,,1
AGSC,,,3,4,7,,,,,,,7
AGSM,,1,2,4,7,,,,,,,7
ALEC,,,,,,2,2,2,2,,,4
ALED,1,2,14,19,36,,,,,,,36
ANBR,,,,,,,,,,,,
ANSC,3,3,12,23,41,4,4,4,4,,,49
BAEN,1,1,2,7,11,2,2,1,1,,,14
BESC,,2,7,21,30,,,,,,,30
BICH,2,,2,2,6,,,4,4,,,10
CDEV,,1,1,2,4,,,,,,,4
ECOR,,,,2,2,,,,,,,2
ENST,,,1,2,3,,,,,,,3
ENTO,,2,5,5,12,2,2,5,5,,,19
ESSM,,,,,,3,3,6,6,,,9
FISC,,,,,,,,,,,,
FIVL,1,1,,,2,,,,,,,2
FIVS,,,,5,5,,,,,,,5
FORS,,,,,,1,1,,,,,1
FSTC,,,4,4,8,2,2,1,1,,,11
GENE,1,,1,,2,,,4,4,,,6
HORT,,1,2,4,7,3,3,2,2,,,12
MEPS,,,,,,1,1,,,,,1
NRDV,,,,,,3,3,,,,,3
NUSC,,2,13,24,39,,,,,,,39
NUTR,,,,,,1,1,1,1,,,2
PLBR,,,,,,,,1,1,,,1
PLPA,,,,,,,,2,2,,,2
POSC,,1,3,3,7,1,1,1,1,,,9
PREP,,,,,,,,,,,,
PSSC,,,3,,3,,,,,,,3
RENR,,,1,5,6,,,,,,,6
RLEM,,,,1,1,,,,,,,1
RPTS,1,1,5,8,15,,,,,,,15
RRDV,,,,,,,,,,,,
SOSC,,,,,,1,1,1,1,,,2
SPSA,,,2,,2,,,,,,,2
TGSC,,1,,,1,,,,,,,1
TOXI,,,,,,,,,,,,
USAL,,1,9,7,17,,,,,,,17
WFSC,1,1,9,18,29,3,3,7,7,,,39
WISC,,,,,,,,,,,,
WMHS,,,,,,2,2,,,,,2
Subtotal,11,23,115,190,339,33,33,42,42,,,414
