Summer 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Agriculture,AGEC,,,,,,,,,,,,
ALEC,,3,20,13,26,62,,,2,2,,,64
ANSC,,,,,,,1,1,,,,,1
BAEN,,,,,,,,,2,2,,,2
BCBP,,1,3,2,3,9,,,1,1,,,10
CLAG,,,1,1,,2,,,,,,,2
ENTO,,1,,1,,2,,,1,1,,,3
ESSM,,,,,,,,,2,2,,,2
HRSC,,,,,,,,,,,,,
NFSC,,,1,2,8,11,1,1,,,,,12
PLPM,,,2,1,5,8,,,1,1,,,9
POSC,,,1,1,,2,1,1,1,1,,,4
RPTS,,1,4,3,10,18,,,4,4,,,22
SCSC,,,,,,,,,1,1,,,1
WFSC,,,1,,1,2,,,1,1,,,3
Subtotal,,6,33,24,53,116,3,3,16,16,,,135
Architecture,ARCH,,,,,,,,,,,,
CLAR,,1,,1,1,3,,,,,,,3
COSC,,,1,2,3,6,1,1,,,,,7
LAUP,,1,,,,1,,,,,,,1
VIZA,,,,1,,1,,,,,,,1
Subtotal,,2,1,4,4,11,1,1,,,,,12
Business Admin,ACCT,,,1,4,5,3,3,2,2,,,10
CLBA,,4,6,4,3,17,5,5,,,,,22
FINC,,,,1,1,2,,,,,,,2
INFO,,,,2,2,4,1,1,,,,,5
MGMT,,,,4,1,5,2,2,1,1,,,8
MKTG,,,,,2,2,1,1,,,,,3
Subtotal,,4,6,12,13,35,12,12,3,3,,,50
Education,CLED,,,,,,,,,,,,
EAHR,,,2,1,10,13,5,5,29,29,,,47
EPSY,,,,,3,3,2,2,13,13,,,18
HLKN,,16,6,15,25,62,15,15,7,7,,,84
TLAC,,,2,1,2,5,10,10,23,23,,,38
Subtotal,,16,10,17,40,83,32,32,72,72,,,187
Engineering,AERO,,1,1,,2,,,1,1,,,3
BMEN,,,,,4,4,,,1,1,,,5
CHEN,,,,2,4,6,4,4,2,2,,,12
CLEN,,,,,,,,,,,,,
CSCE,,,1,5,3,9,,,2,2,,,11
CVEN,,1,,,2,3,1,1,,,,,4
