Ethnicity American Indian Only (NEW),,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station Campus),,,,,,,,,,,,,,
Summer 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,"Professional
Veterinary",Total,,
Agriculture,ABME,,,,,,,,,,,,,
AGBU,,,,,,,,,,,,,,
AGCJ,,,,1,1,2,,,,,,,2,
ALEC,,,,,,,1,1,,,,,1,
ALED,,,,1,2,3,,,,,,,3,
ANBR,,,,,,,,,,,,,,
ANSC,,,1,1,1,3,,,,,,,3,
BICH,,,,,,,,,1,1,,,1,
FIVL,,,,,,,,,,,,,,
FIVS,,,,1,,1,,,,,,,1,
POSC,,,,,1,1,,,,,,,1,
RPTS,,,,,1,1,,,,,,,1,
WMHS,,,,,,,,,,,,,,
Subtotal,,,1,4,6,11,1,1,1,1,,,13,
Architecture,ARCH,,,,,,,,,,,,,
COMG,,,,,,,,,,,,,,
COSC,,,,,1,1,,,,,,,1,
VIST,,,,,,,,,,,,,,
Subtotal,,,,,1,1,,,,,,,1,
Business,ACCT,,,,,,,,,,,,,
Admin,FINC,,,1,,1,,,,,,,1,
INFO,,,,,2,2,,,,,,,2,
Subtotal,,,,1,2,3,,,,,,,3,
Education,ATTR,,,,,,,,,,,,,
EDAD,,,,,,,,,,,,,,
EDCI,,,,,,,1,1,1,1,,,2,
EDHL,,,,,1,1,,,,,,,1,
EDIS,,,,,,,,,,,,,,
EDKI,,,,1,,1,,,,,,,1,
HRDL,,,,,,,,,,,,,,
HRDV,,,,,1,1,,,,,,,1,
USEH,,,,,,,,,,,,,,
Subtotal,,,,1,2,3,1,1,1,1,,,5,
Engineering,AERL,,,,,,,,,,,,,
AERO,,,,,1,1,,,,,,,1,
CHEN,,,,,1,1,,,,,,,1,
ELEL,,,,,,,,,,,,,,
ELEN,,,,,1,1,,,,,,,1,
INEN,,,,1,1,2,,,,,,,2,
OCEL,,,,,,,,,,,,,,
OCEN,,,,,1,1,,,,,,,1,
PETE,,,,,,,2,2,,,,,2,
USEN,,,,,,,,,,,,,,
Geosciences,Subtotal ATMO,,,1,5,6,2,2,,,,,8,
GEOG,,,,,1,1,,,,,,,1,
OCNG,,,,,,,,,1,1,,,1,
WMHS,,,,,,,,,,,,,,
Subtotal,,,,,1,1,,,1,1,,,2,
Liberal Arts,ANTH,,,,,,,,1,1,,,1,
ECON,,,,1,,1,,,,,,,1,
HIST,,,1,,,1,,,,,,,1,
INTS,,,,,1,1,,,,,,,1,
Subtotal,,,1,1,1,3,,,1,1,,,4,
Science,APHY,,,,,,,,1,1,,,1,
APMS,,,,,,,,,,,,,,
BIOL,,,,,1,1,,,,,,,1,
CHEM,,,,,,,,,1,1,,,1,
ZOOL,,,,,,,,,,,,,,
Subtotal,,,,,1,1,,,2,2,,,3,
Veterinary,BIMS,,,,,,,,,,,,,
General,GEST,1,,,,1,,,,,,,1,
Studies,TEAM,1,,,,1,,,,,,,1,
Subtotal,,2,,,,2,,,,,,,2,
University,Total,2,2,8,19,31,4,4,6,6,,,41,
"Prepared by DARS, 05 Sep 13",,,,,,,,,,,,,,
