Summer 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,,
Agriculture         ABME,,,,,,,,,,,,,
ALEC,,,,,,,,,,,,,
ALED,,1,,,1,,,,,,,1,
NRDV,,,,,,,,,,,,,
NUSC,,,1,1,2,,,,,,,2,
RPTS,1,,,,1,,,,,,,1,
WFSC,,,,1,1,,,,,,,1,
WISC,,,,,,,,,,,,,
WMHS,,,,,,,,,,,,,
Subtotal,1,1,1,2,5,,,,,,,5,
Architecture       ARCH,,,,,,,,,,,,,
URPN,,,,1,1,,,,,,,1,
Subtotal,,,,1,1,,,,,,,1,
Business             ACCT,,,1,,1,,,,,,,1,
Admin                 Subtotal,,,1,,1,,,,,,,1,
Engineering       AERL,,,,,,,,,,,,,
CHEL,,,,,,,,,,,,,
CHEN ELEN,,,,"1
1","1
1",,,,,,,"1
1",
IDIS,,,1,,1,,,,,,,1,
INEL,,,,,,,,,,,,,
INEN,,,,1,1,,,,,,,1,
OCEL,,,,,,,,,,,,,
OCEN,,,,1,1,,,,,,,1,
Subtotal,,,1,4,5,,,,,,,5,
Liberal Arts        ANTH,,,,,,,,,,,,,
ECON,,,,,,,,,,,,,
ENGL,,,,1,1,,,,,,,1,
WGST,,,,,,,,,,,,,
Subtotal,,,,1,1,,,,,,,1,
Science                APHY,,,,,,,,,,,,,
APMS,,,,,,,,,,,,,
BIOL,,,,1,1,,,,,,,1,
Subtotal,,,,1,1,,,,,,,1,
University           Total,1,1,3,9,14,,,,,,,14,
"Prepared by DARS, 05 Sep 13",,,,,,,,,,,,,
