Summer 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Agriculture              ABME,,,,,,,,1,1,,,1
ADEV,,,,,,12,12,,,,,12
AGBL,4,6,14,,24,,,,,,,24
AGBU,,,27,40,67,8,8,,,,,75
AGCJ,2,11,36,67,116,,,,,,,116
AGEC,,5,27,43,75,8,8,7,7,,,90
AGED,,,,,,,,4,4,,,4
AGLS,1,8,12,11,32,,,,,,,32
AGRO,,,5,22,27,11,11,4,4,,,42
AGSC,1,1,19,13,34,,,,,,,34
AGSM,1,4,9,29,43,3,3,,,,,46
ALEC,,,,,,32,32,16,16,,,48
ALED,,15,87,124,226,,,,,,,226
ANBR,,,,,,3,3,1,1,,,4
ANSC,8,24,69,146,247,24,24,12,12,,,283
BAEN,2,5,10,17,34,9,9,2,2,,,45
BESC,1,10,16,32,59,,,,,,,59
BICH,3,1,8,14,26,1,1,34,34,,,61
CDEV,,,2,6,8,,,,,,,8
ECOR,,1,1,4,6,,,,,,,6
ENST,,,3,8,11,,,,,,,11
ENTO,,1,5,10,16,6,6,17,17,,,39
ESSM,,,,,,4,4,7,7,,,11
FISC,,,,,,1,1,,,,,1
FIVL,,1,2,1,4,,,,,,,4
FIVS,,,2,17,19,,,,,,,19
FORS,,,4,5,9,2,2,2,2,,,13
FSTC,1,,6,14,21,7,7,3,3,,,31
GENE,,,2,9,11,2,2,20,20,,,33
HORT,2,2,12,26,42,8,8,4,4,,,54
MEPS,,,,,,1,1,4,4,,,5
NRDV,,,,,,9,9,,,,,9
NUSC,5,5,30,75,115,,,,,,,115
NUTR,,,,,,6,6,4,4,,,10
PLBR,,,,,,9,9,15,15,,,24
PLPA,,,,,,,,8,8,,,8
POSC,,3,8,15,26,6,6,3,3,,,35
PREP,,,,,,5,5,2,2,,,7
PSSC,2,3,2,1,8,,,,,,,8
RENR,1,2,8,6,17,,,,,,,17
RLEM,1,3,4,8,16,,,,,,,16
RPTS,1,16,50,106,173,5,5,6,6,,,184
RRDV,,,,,,1,1,,,,,1
SOSC,,,,,,4,4,8,8,,,12
SPSA,1,2,3,5,11,,,,,,,11
TGSC,,4,1,1,6,,,,,,,6
TOXI,,,,,,,,1,1,,,1
USAL,,11,21,34,66,,,,,,,66
WFSC,1,3,20,43,67,12,12,13,13,,,92
WISC,,,,,,8,8,,,,,8
WMHS,,,,,,4,4,1,1,,,5
Subtotal,38,147,525,952,"1,662",211,211,199,199,,,"2,072"
