Summer 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Agriculture,ABME,,,,,,,,1,1,,,1
AGBU,,,,1,1,2,8,8,,,,,10
AGCJ,,,,1,1,2,,,,,,,2
AGEC,,,,1,2,3,6,6,12,12,,,21
AGED,,,,,,,,,,,,,
AGLS,,,1,,,1,,,,,,,1
AGRO,,,,,,,1,1,2,2,,,3
ALEC,,,,,,,2,2,,,,,2
ALED,,,,,1,1,,,,,,,1
ANBR,,,,,,,,,1,1,,,1
ANSC,,,1,,,1,,,2,2,,,3
BAEN,,,1,,,1,4,4,12,12,,,17
BESC,,7,,,,7,,,,,,,7
BICH,,,,1,2,3,1,1,47,47,,,51
ENST,,,,,,,,,,,,,
ENTO,,1,,,,1,,,13,13,,,14
ESSM,,,,,,,,,6,6,,,6
FIVS,,,,,,,,,,,,,
FORS,,,1,,,1,2,2,2,2,,,5
FSTC,,,,,1,1,3,3,9,9,,,13
GENE,,,,,3,3,,,3,3,,,6
HORT,,,,,,,3,3,9,9,,,12
MEPS,,,,,,,,,9,9,,,9
NRDV,,,,,,,,,,,,,
NUSC,,,,1,,1,,,,,,,1
NUTR,,,,,,,4,4,5,5,,,9
PLBR,,,,,,,1,1,12,12,,,13
PLPA,,,,,,,1,1,9,9,,,10
POSC,,,,,,,,,2,2,,,2
PREP,,,,,,,,,2,2,,,2
RLEM,,,,,,,,,,,,,
RPTS,,,,,,,2,2,5,5,,,7
RRDV,,,,,,,,,,,,,
SOSC,,,,,,,1,1,5,5,,,6
TOXI,,,,,,,,,1,1,,,1
USAL,,,,,,,,,,,,,
WFSC,,,,,,,3,3,8,8,,,11
WISC,,,,,,,,,,,,,
WMHS,,,,,,,1,1,,,,,1
Subtotal,,8,4,5,11,28,43,43,177,177,,,248
Architecture,ARCH,,,,,,8,8,14,14,,,22
COMG,,,,,,,27,27,,,,,27
COSC,,,,,1,1,,,,,,,1
COSL,,,,,,,,,,,,,
ENDL,,,1,,,1,,,,,,,1
ENDS,,,,,1,1,,,,,,,1
LAND,,,,,,,14,14,,,,,14
LANL,,,,,,,,,,,,,
LDEV,,,,,,,2,2,,,,,2
LPDV,,,,,,,5,5,,,,,5
URPL,,,,,,,5,5,,,,,5
URPN,,,,,,,,,,,,,
URSC,,,,,1,1,,,4,4,,,5
USAR,,,,,1,1,,,,,,,1
VISL,,,,,,,,,,,,,
VIST,,,,,,,7,7,,,,,7
Subtotal,,,1,,4,5,68,68,18,18,,,91
