Summer 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Agriculture,AGEC,,,,,,,,,,,,
ALEC,,,,2,3,5,1,1,,,,,6
ANSC,,,1,1,1,3,,,,,,,3
BAEN,,,,,,,,,,,,,
BCBP,,,,,,,,,1,1,,,1
CLAG,,,,,,,,,,,,,
ENTO,,,,1,,1,,,,,,,1
POSC,,,,,1,1,,,,,,,1
RPTS,,,,,1,1,,,,,,,1
Subtotal,,,1,4,6,11,1,1,1,1,,,13
Architecture,ARCH,,,,,,,,,,,,
CLAR,,,,,,,,,,,,,
COSC,,,,,1,1,,,,,,,1
Subtotal,,,,,1,1,,,,,,,1
Business,ACCT,,,,,,,,,,,,
Admin,CLBA,,,,,,,,,,,,
FINC,,,,1,,1,,,,,,,1
INFO,,,,,2,2,,,,,,,2
Subtotal,,,,1,2,3,,,,,,,3
Education,CLED,,,,,,,,,,,,
EAHR,,,,,1,1,,,,,,,1
EPSY,,,,,,,,,,,,,
HLKN,,,,1,1,2,,,,,,,2
TLAC,,,,,,,1,1,1,1,,,2
Subtotal,,,,1,2,3,1,1,1,1,,,5
Engineering,AERO,,,,1,1,,,,,,,1
BMEN,,,,,,,,,,,,,
CHEN,,,,,1,1,,,,,,,1
CVEN,,,,,1,1,,,,,,,1
ECEN,,,,,1,1,,,,,,,1
ETID,,,,,,,,,,,,,
ISEN,,,,1,1,2,,,,,,,2
NUEN,,,,,,,,,,,,,
PETE,,,,,,,2,2,,,,,2
Subtotal,,,,1,5,6,2,2,,,,,8
