Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station Campus),,,,,,,,,,,,,,,,,,,,,,,
University Total,,,,,,,,,,,,,,,,,,,,,,,
Summer 2013,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,Grand Total,,,
,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,142,150,292,1,1,15,3,18,6,24,30,58,50,108,6,5,11,1,1,228,233,461,
"TAMU Age              18-21
Categories",142,149,291,1,1,15,3,18,6,24,30,58,50,108,6,5,11,1,1,228,232,460,
22-25,,1,1,,,,,,,,,,,,,,,,,,1,1,
"Classification/De   Freshman
gree Objective",141,148,289,1,1,14,3,17,6,24,30,56,50,106,6,5,11,1,1,224,231,455,
Sophomore,1,2,3,,,1,,1,,,,1,,1,,,,,,3,2,5,
Junior,,,,,,,,,,,,1,,1,,,,,,1,,1,
Tuition Status         Resident Tuition,135,145,280,1,1,15,3,18,6,18,24,56,48,104,6,3,9,,,219,217,436,
Non-Resident Tuition,7,5,12,,,,,,,6,6,2,2,4,,2,2,1,1,9,16,25,
Residency Status    Texas Resident,135,145,280,1,1,15,3,18,6,18,24,56,48,104,6,3,9,,,219,217,436,
"Non-TX, US Resident",6,5,11,,,,,,,6,6,2,2,4,,2,2,,,8,15,23,
"Non-TX, Non-US
Resident",1,,1,,,,,,,,,,,,,,,1,1,1,1,2,
SCH Categories      < 6 SCH,1,1,2,,,,,,,,,,,,,,,,,1,1,2,
6-8 SCH,141,148,289,1,1,15,3,18,6,23,29,58,50,108,6,5,11,1,1,227,230,457,
9-11 SCH,,,,,,,,,,1,1,,,,,,,,,,1,1,
12-14 SCH,,1,1,,,,,,,,,,,,,,,,,,1,1,
"Ft/Pt:  TAMU         Less Than Half Time
Status",1,1,2,,,,,,,,,,,,,,,,,1,1,2,
Half-Time,141,148,289,1,1,15,3,18,6,24,30,58,50,108,6,5,11,,,227,230,457,
Full-Time,,1,1,,,,,,,,,,,,,,,1,1,,2,2,
"Top 10% Texas       No
High School",138,143,281,1,1,14,3,17,6,24,30,56,49,105,6,5,11,1,1,221,225,446,
Yes,4,7,11,,,1,,1,,,,2,1,3,,,,,,7,8,15,
First Generation    No,114,125,239,1,1,5,1,6,1,8,9,32,27,59,2,4,6,,,155,165,320,
Unknown,5,3,8,,,,,,1,8,9,2,2,4,,,,1,1,8,14,22,
Yes,23,22,45,,,10,2,12,4,8,12,24,21,45,4,1,5,,,65,54,119,
"Dorm / Off-             Off-campus
campus students",9,22,31,,,,,,2,20,22,3,3,6,,2,2,1,1,14,48,62,
Dorm (On-campus),133,128,261,1,1,15,3,18,4,4,8,55,47,102,6,3,9,,,214,185,399,
"Prepared by DARS, 06 Sep 13",,,,,,,,,,,,,,,,,,,,,,,
