Summer 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Engineering       AERO,3,9,29,57,98,16,16,31,31,,,145
BMEN,4,12,12,39,67,6,6,28,28,,,101
CHEN,2,12,26,67,107,10,10,17,17,,,134
CLEN,,,,1,1,,,1,1,,,2
CSCE,4,22,38,78,142,5,5,21,21,,,168
CVEN,3,17,68,89,177,46,46,14,14,,,237
ECEN,3,16,45,76,140,4,4,16,16,,,160
ETID,2,11,55,125,193,,,,,,,193
ISEN,1,13,42,59,115,12,12,1,1,,,128
MEEN,8,16,54,97,175,34,34,42,42,,,251
MSEN,,,,,,,,4,4,,,4
NUEN,3,8,17,34,62,20,20,20,20,,,102
PETE,5,9,24,18,56,59,59,5,5,,,120
Subtotal,38,145,410,740,"1,333",212,212,200,200,,,"1,745"
G. Bush School BUSH,,,,,,68,68,,,,,68
of Govt                Subtotal,,,,,,68,68,,,,,68
Geosciences       ATMO,,4,11,13,28,15,15,14,14,,,57
CLGE,1,5,9,16,31,1,1,,,,,32
GEOG,1,4,15,28,48,7,7,7,7,,,62
GEPL,3,5,20,45,73,16,16,12,12,,,101
OCNG,,,,,,6,6,14,14,,,20
Subtotal,5,18,55,102,180,45,45,47,47,,,272
Liberal Arts       ANTH,,6,15,14,35,6,6,6,6,,,47
CLLA,,,2,8,10,,,,,,,10
COMM,2,24,79,93,198,2,2,12,12,,,212
ECON,3,19,69,77,168,4,4,6,6,,,178
ENGL,,13,49,62,124,4,4,15,15,,,143
HISP,1,2,1,5,9,,,2,2,,,11
HIST,4,13,41,73,131,,,12,12,,,143
INTS,3,18,52,109,182,,,,,,,182
PHUM,,2,7,15,24,1,1,10,10,,,35
POLS,1,15,46,68,130,,,21,21,,,151
PRFM,,3,7,4,14,,,,,,,14
PSYC,2,32,106,147,287,6,6,54,54,,,347
SOCI,1,12,24,66,103,1,1,8,8,,,112
Subtotal,17,159,498,741,"1,415",24,24,146,146,,,"1,585"
