Summer 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Agriculture,AGEC,,,2,3,5,14,14,13,13,,,32
ALEC,,,,1,2,3,2,2,,,,,5
ANSC,,,1,,,1,1,1,7,7,,,9
BAEN,,,1,,,1,5,5,12,12,,,18
BCBP,,,,1,5,6,1,1,49,49,,,56
CLAG,,,1,,,1,,,,,,,1
ENTO,,1,,,,1,,,13,13,,,14
ESSM,,,1,,,1,2,2,8,8,,,11
HRSC,,,,,,,3,3,12,12,,,15
NFSC,,,,1,1,2,5,5,11,11,,,18
PLPM,,7,,,,7,1,1,9,9,,,17
POSC,,,,,,,1,1,4,4,,,5
RPTS,,,,,,,2,2,5,5,,,7
SCSC,,,,,,,3,3,26,26,,,29
WFSC,,,,,,,3,3,8,8,,,11
Subtotal,,8,4,5,11,28,43,43,177,177,,,248
Architecture,ARCH,,1,,1,2,8,8,14,14,,,24
CLAR,,,,,1,1,,,,,,,1
COSC,,,,,1,1,27,27,,,,,28
LAUP,,,,,1,1,26,26,4,4,,,31
VIZA,,,,,,,7,7,,,,,7
Subtotal,,,1,,4,5,68,68,18,18,,,91
Business,ACCT,,1,2,5,8,4,4,,,,,12
Admin,CLBA,4,1,,,5,21,21,,,,,26
FINC,,,,5,3,8,3,3,8,8,,,19
INFO,,,,,1,1,71,71,8,8,,,80
MGMT,,,,,,,,,4,4,,,4
MKTG,,,,,,,3,3,6,6,,,9
Subtotal,,4,2,7,9,22,102,102,26,26,,,150
Education,CLED,,,,,,,,,,,,
EAHR,,,,,1,1,9,9,10,10,,,20
EPSY,,,,,,,2,2,23,23,,,25
HLKN,,1,1,2,3,7,5,5,21,21,,,33
TLAC,,1,,,,1,12,12,8,8,,,21
Subtotal,,2,1,2,4,9,28,28,62,62,,,99
