Summer 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
G. Bush School  CAIA,,,,,,,,,,,,
of Govt                CNSA,,,,,,,,,,,,
INTA,,,,,,2,2,,,,,2
PSAA,,,,,,4,4,,,,,4
Subtotal,,,,,,6,6,,,,,6
Geosciences       ATMO,,,,,,1,1,17,17,,,18
ENGS,,1,,,1,,,,,,,1
ENST,,,,,,,,,,,,
GEOG,,,,,,1,1,6,6,,,7
GEOL,,,2,2,4,2,2,8,8,,,14
GEOP,,,4,2,6,2,2,6,6,,,14
GEOS,,,,,,2,2,,,,,2
METR,,,,,,,,,,,,
OCNG,,,,,,1,1,19,19,,,20
WMHS,,,,,,,,1,1,,,1
Subtotal,,1,6,4,11,9,9,57,57,,,77
Liberal Arts        ANTH,,,,,,1,1,2,2,,,3
CLSS,,,,,,,,,,,,
COMM,,,,,,1,1,1,1,,,2
ECON,,,3,4,7,51,51,16,16,,,74
ENGL,,,,1,1,,,6,6,,,7
HISP,,,,,,,,8,8,,,8
HIST,,,,,,,,2,2,,,2
INTS,,,,1,1,,,,,,,1
NRSC,,,,,,,,3,3,,,3
POLS,1,,,,1,,,2,2,,,3
PSYC,,,,1,1,,,13,13,,,14
RUSS,,,,,,,,,,,,
SOCI,,,1,1,2,,,1,1,,,3
SPAN,1,,,,1,,,,,,,1
Subtotal,2,,4,8,14,53,53,54,54,,,121
Science                APHY,,,,,,,,1,1,,,1
APMS,,2,1,1,4,,,,,,,4
BIOL,,1,1,,2,1,1,19,19,,,22
BMCB,,1,,,1,,,,,,,1
BOTN,,,,,,,,,,,,
CHEM,,,2,2,4,2,2,113,113,,,119
GENE,,,,,,,,,,,,
MATH,,2,,,2,7,7,67,67,,,76
MBIO,,,,,,,,4,4,,,4
MSEN,,,,,,,,,,,,
NRSC,,,,,,,,1,1,,,1
PHYS,1,,,1,2,8,8,72,72,,,82
STAT,,,,,,3,3,28,28,,,31
USSC,,,,,,,,,,,,
ZOOL,,,,,,,,1,1,,,1
Subtotal,1,6,4,4,15,21,21,306,306,,,342
Veterinary          BIMS,,,,2,2,2,2,25,25,,,29
Medicine            BIOT,,,,,,1,1,,,,,1
EPID,,,,,,1,1,,,,,1
GENE,,,,,,,,1,1,,,1
TOXI,,,,,,,,4,4,,,4
USVM,,,,,,,,,,,,
VPAT,,,,,,,,2,2,,,2
VTMD,,,,,,,,,,,,
VTMI,,,,,,,,3,3,,,3
VTPH,,,,,,,,,,,,
Subtotal,,,,2,2,4,4,35,35,,,41
General               GEST,2,,,,2,,,,,,,2
Studies                TEAM,,,,,,,,,,,,
Subtotal,2,,,,2,,,,,,,2
Other - Special  MARB,,,,,,,,,,,,
Populations       PHLT,,,,,,4,4,,,,,4
REEP,,1,1,2,4,,,,,,,4
Subtotal,,1,1,2,4,4,4,,,,,8
University          Total,26,28,58,146,258,685,685,"1,458","1,458",,,"2,401"
