Summer 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Architecture,ARCH,,,,,,20,20,3,3,,,23
COMG,,,,,,,12,12,,,,,12
COSC,,,,26,131,157,,,,,,,157
COSL,,1,19,32,12,64,,,,,,,64
ENDL,,,11,13,,24,,,,,,,24
ENDS,,,,5,17,22,,,,,,,22
LAND,,,,5,7,12,2,2,,,,,14
LANL,,1,3,1,,5,,,,,,,5
LDEV,,,,,,,1,1,,,,,1
LPDV,,,,,,,4,4,,,,,4
URPL,,,,,,,6,6,,,,,6
URPN,,,1,1,,2,,,,,,,2
URSC,,,,4,13,17,,,,,,,17
USAR,,2,2,6,14,24,,,,,,,24
VISL,,,1,8,10,19,,,,,,,19
VIST,,,,3,14,17,23,23,,,,,40
Subtotal,,4,37,104,218,363,68,68,3,3,,,434
Business Admin,ACCT,,7,108,192,307,99,99,12,12,,,418
AGBU,,,,1,3,4,,,,,,,4
BHNR,,1,,12,16,29,,,,,,,29
BUAD,,15,73,84,2,174,12,12,,,,,186
BUAG,,,1,,,1,,,,,,,1
FINC,,,2,68,92,162,59,59,2,2,,,223
INFO,,,,31,55,86,,,1,1,,,87
MGMT,,,3,29,50,82,9,9,10,10,,,101
MISY,,,,,,,28,28,,,,,28
MKTG,,,2,53,87,142,23,23,3,3,,,168
MLER,,,,,,,25,25,,,,,25
PMBA,,,,,,,25,25,,,,,25
USBU,,,3,18,38,59,,,,,,,59
Subtotal,,16,91,404,535,"1,046",280,280,28,28,,,"1,354"
Education,ATTR,,,,,,13,13,,,,,13
BIED,,,,,,,2,2,,,,,2
CPSY,,,,,,,,,11,11,,,11
EDAD,,,,,,,7,7,47,47,,,54
EDCI,,,,,,,152,152,49,49,,,201
EDHL,,1,29,63,46,139,,,,,,,139
EDIS,,1,23,34,18,76,,,,,,,76
EDKI,,6,20,60,56,142,,,,,,,142
EDSM,,6,13,40,20,79,,,,,,,79
EHRD,,,,,,,32,32,21,21,,,53
EPSY,,,,,,,21,21,20,20,,,41
GENE,,,,,,,,,1,1,,,1
HEED,,,,,,,16,16,7,7,,,23
HLTH,,1,,7,114,122,,,,,,,122
HRDL,,1,3,20,10,34,,,,,,,34
HRDV,,,,9,58,67,,,,,,,67
INST,,1,3,54,161,219,,,,,,,219
KINE,,,,3,86,89,14,14,29,29,,,132
NUTR,,,,,,,1,1,,,,,1
SPED,,,,,,,17,17,,,,,17
SPMT,,,,9,82,91,18,18,,,,,109
SPSY,,,,,,,,,18,18,,,18
TCMG,,,,2,29,31,,,,,,,31
TCML,,,2,14,7,23,,,,,,,23
USEH,,,1,1,,2,,,,,,,2
Subtotal,,17,94,316,687,"1,114",293,293,203,203,,,"1,610"
