Summer 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Agriculture,AGEC,,1,1,1,3,,,,,,,3
ALEC,,,1,4,5,10,,,,,,,10
ANSC,,1,1,2,6,10,1,1,,,,,11
BAEN,,,,2,4,6,,,,,,,6
BCBP,,,,2,2,4,,,1,1,,,5
CLAG,,,,,,,,,,,,,
ENTO,,,,,2,2,,,,,,,2
ESSM,,,1,,,1,1,1,,,,,2
HRSC,,,,,1,1,,,,,,,1
NFSC,,,,1,4,5,1,1,,,,,6
PLPM,,,1,1,,2,,,,,,,2
POSC,,,,,,,,,,,,,
RPTS,,,1,,3,4,,,,,,,4
SCSC,,,,,,,,,,,,,
WFSC,,,,,1,1,,,,,,,1
Subtotal,,1,6,13,29,49,3,3,1,1,,,53
Architecture,ARCH,,,,,,,,,,,,
CLAR,,,,,,,,,,,,,
COSC,,,1,1,4,6,,,,,,,6
LAUP,,,1,,,1,,,,,,,1
VIZA,,,,,,,1,1,,,,,1
Subtotal,,,2,1,4,7,1,1,,,,,8
Business,ACCT,,,4,4,8,1,1,,,,,9
Admin,CLBA,,5,2,3,10,,,,,,,10
FINC,,,,2,2,4,2,2,,,,,6
INFO,,,,1,2,3,1,1,,,,,4
MGMT,,,,,1,1,,,,,,,1
MKTG,,,,,1,1,1,1,,,,,2
Subtotal,,,5,9,13,27,5,5,,,,,32
Education,CLED,,,,,,,,,,,,
EAHR,,,,2,2,4,,,1,1,,,5
EPSY,,,,1,,1,,,5,5,,,6
HLKN,,1,3,6,17,27,3,3,1,1,,,31
TLAC,,,,3,2,5,4,4,3,3,,,12
Subtotal,,1,3,12,21,37,7,7,10,10,,,54
