Top 10,,,,,,,,
Summer 2013  Feeder Patterns New Graduate (College Station Campus),,,,,,,,
Texas County     Students   % Total,,,,,,,,
Harris,,79,,,16.9%,,,
Brazos,,31,,,6.6%,,,
Dallas,,26,,,5.6%,,,
Fort Bend,,24,,,5.1%,,,
Collin,,22,,,4.7%,,,
Tarrant,,22,,,4.7%,,,
Travis,,22,,,4.7%,,,
Bexar,,18,,,3.8%,,,
Denton,,14,,,3.0%,,,
Montgomery,,12,,,2.6%,,,
State,Students   % Total,,,,,,,
Texas,399,,,85.3%,,,,
Tennessee,4,,,0.9%,,,,
California,3,,,0.6%,,,,
Florida,2,,,0.4%,,,,
Illinois,2,,,0.4%,,,,
Virginia,2,,,0.4%,,,,
New Jersey,1,,,0.2%,,,,
Missouri,1,,,0.2%,,,,
Mississippi,1,,,0.2%,,,,
Michigan,1,,,0.2%,,,,
Country,,,Students   % Total,,,,,
United States,,,423,,,90.4%,,
India,,,17,,,3.6%,,
"China, People's Rep of",,,8,,,1.7%,,
Iran,,,3,,,0.6%,,
Iraq,,,2,,,0.4%,,
Mexico,,,2,,,0.4%,,
Italy,,,1,,,0.2%,,
Canada,,,1,,,0.2%,,
Bahrain,,,1,,,0.2%,,
Honduras,,,1,,,0.2%,,
